protocol,n,run,audit_mode,chain_active_ms,tx_count,confirm_median_ms,confirm_p95_ms,ledger_bytes_task,gas_used,block_start,block_end,valid,contract_address
IRPP-TD,10,25,normal,7106.655140,14,502.729546,597.254059,4046,359227,2159,2173,true,0x92c9e53ccc9ff54413cac75a0952f8e2f907b977
RPPS-TDC,10,26,normal,12619.479725,25,501.911763,535.492833,74739,11399128,2173,2198,true,0x02c387f81f33bd252d5b6ad5952fcffa54edf5d7
IRPP-TD,10,26,normal,7025.684809,14,502.514060,532.514034,4046,359227,2198,2212,true,0x92c9e53ccc9ff54413cac75a0952f8e2f907b977
BSIF,10,26,normal,11709.899637,23,503.470350,548.247604,78449,12032928,2212,2235,true,0xfe3d95db7667a988966ca70f92492d8ed930a934
IRPP-TD,10,27,normal,7081.418752,14,501.526544,557.080974,4046,359227,2235,2249,true,0x92c9e53ccc9ff54413cac75a0952f8e2f907b977
BSIF,10,27,normal,11596.539239,23,501.707566,535.605003,78449,12032928,2249,2272,true,0xfe3d95db7667a988966ca70f92492d8ed930a934
RPPS-TDC,10,27,normal,12616.057956,25,501.762576,539.043289,74739,11399128,2272,2297,true,0x02c387f81f33bd252d5b6ad5952fcffa54edf5d7
BSIF,10,28,normal,11598.159177,23,502.092491,535.506132,78449,12032928,2297,2320,true,0xfe3d95db7667a988966ca70f92492d8ed930a934
RPPS-TDC,10,28,normal,12649.177745,25,501.754369,525.780737,74739,11399128,2320,2345,true,0x02c387f81f33bd252d5b6ad5952fcffa54edf5d7
IRPP-TD,10,28,normal,7037.927628,14,501.272990,510.087232,4046,359227,2345,2359,true,0x92c9e53ccc9ff54413cac75a0952f8e2f907b977
RPPS-TDC,10,29,normal,12558.256060,25,500.981379,511.465850,74739,11399128,2359,2384,true,0x02c387f81f33bd252d5b6ad5952fcffa54edf5d7
IRPP-TD,10,29,normal,7032.206225,14,501.410702,514.627325,4046,359227,2384,2398,true,0x92c9e53ccc9ff54413cac75a0952f8e2f907b977
BSIF,10,29,normal,11559.179862,23,502.069458,533.949888,78449,12032928,2398,2421,true,0xfe3d95db7667a988966ca70f92492d8ed930a934
IRPP-TD,20,0,normal,12162.162847,24,501.651877,571.978513,6936,643067,2421,2445,true,0x92c9e53ccc9ff54413cac75a0952f8e2f907b977
BSIF,20,0,normal,21787.487247,43,502.177599,546.324023,155839,23959788,2445,2488,true,0xfe3d95db7667a988966ca70f92492d8ed930a934
RPPS-TDC,20,0,normal,22712.733489,45,501.742367,531.592966,147969,22667108,2488,2533,true,0x02c387f81f33bd252d5b6ad5952fcffa54edf5d7
BSIF,20,1,normal,21766.531769,43,501.215735,537.970365,155839,23959788,2533,2576,true,0xfe3d95db7667a988966ca70f92492d8ed930a934
RPPS-TDC,20,1,normal,22698.120026,45,501.522356,573.536834,147969,22667108,2576,2621,true,0x02c387f81f33bd252d5b6ad5952fcffa54edf5d7
IRPP-TD,20,1,normal,12140.884863,24,502.411165,544.551080,6936,643067,2621,2645,true,0x92c9e53ccc9ff54413cac75a0952f8e2f907b977
RPPS-TDC,20,2,normal,22798.046517,45,502.427320,535.722404,147969,22667108,2645,2690,true,0x02c387f81f33bd252d5b6ad5952fcffa54edf5d7
IRPP-TD,20,2,normal,12251.941531,24,502.130871,578.886853,6936,643067,2690,2714,true,0x92c9e53ccc9ff54413cac75a0952f8e2f907b977
