protocol,n,run,audit_mode,phase,tx_index,latency_ms,ledger_bytes,gas_used,block_number,status,tx_hash
RPPS-TDC,0,0,setup,register_worker,37,502.599895,88,7485,456,0,0xdc01d9fad32fd1b87e4c2b986e4f5168102dd907227f373b46d5e3a4d2619c15
BSIF,0,0,setup,register_worker,38,500.672971,88,7485,457,0,0x1516ddf841028dece549cea6bdbf8554144026d0d5108eeb5a227fab57575305
RPPS-TDC,0,0,setup,register_worker,38,499.672481,88,7485,458,0,0x15098038b792c7581b311d077d5e683a006fd49840a1234d7d75f2abb0e51859
BSIF,0,0,setup,register_worker,39,499.816892,88,7485,459,0,0xb5afef781c5e2263644fd736c8c8b1e98b7024d2707857a4f16f18ff3d1faeaf
RPPS-TDC,0,0,setup,register_worker,39,500.550069,88,7485,460,0,0x5e946b92dea8944d9adbb317b11a10e0ff1eb80c1c7f7a24b72f015c3cec0269
BSIF,0,0,setup,register_worker,40,500.750963,88,7485,461,0,0xc1f5022bdca85717a1c023b36953abf613d2293bcbfc392c50c47a0a943b0803
RPPS-TDC,0,0,setup,register_worker,40,503.941518,88,7485,462,0,0x74723c34762fc38ea25e31182aa1af4be734bdd029b2d4d5cf092692be4e702f
BSIF,0,0,setup,register_worker,41,536.094368,88,7485,463,0,0xd2a1a42a53f9df56320489f00c38a84d86811cf86d3a740a40f9c2bb63c8fb16
RPPS-TDC,0,0,setup,register_worker,41,466.115220,88,7485,464,0,0xd9f68266fced10bfbe912d8bab0fb924f5598913399ff50f575234916658741a
BSIF,0,0,setup,register_worker,42,502.730484,88,7485,465,0,0x733db122f42192c0a3a108148b494141509e61f8ca469d6bac4a693f9f075ae4
RPPS-TDC,0,0,setup,register_worker,42,499.864054,88,7485,466,0,0xed4decb173ac56a0639787eb761d9a92ce55f7284d527f10fef95cd986b2b0ad
BSIF,0,0,setup,register_worker,43,501.789672,88,7485,467,0,0xcf944eac69c54c61fe2cc48a13b7a42279bc8753d40b9b0d5e8448b3ae2ad5ee
RPPS-TDC,0,0,setup,register_worker,43,501.784132,88,7485,468,0,0xa9ec06f18292728272685cb53f17313d3642f396969d773c652aa90a16d1cd05
BSIF,0,0,setup,register_worker,44,502.636149,88,7485,469,0,0x9c439e95b520fac21225396dd599590301b42029dcf8404f307a4c76f6567aaa
RPPS-TDC,0,0,setup,register_worker,44,504.650998,88,7485,470,0,0x53cdcbcaa2b4ce9d342c8753287a7d8d8c998460116c59e3df63c974b27ad778
BSIF,0,0,setup,register_worker,45,579.749690,88,7485,471,0,0x75b488d63685d995587a191c51543ff1d0f6e5f5c324c07ece5b64d477bd37e2
RPPS-TDC,0,0,setup,register_worker,45,502.682470,88,7485,472,0,0xea7762bf2fc7d3e3ffbc3f53da053c11e9cdc7fae177d298c438773933ea5954
BSIF,0,0,setup,register_worker,46,503.007068,88,7485,473,0,0xdf832a1367c5592628400a2356fb407a103b65eaae289046c389a1465c9520c2
RPPS-TDC,0,0,setup,register_worker,46,505.860190,88,7485,474,0,0x04e381cbc9435c1c8a98ef2b5c9e7a882aaaec16a3e5371f3ddd2dc2cd7174a3
BSIF,0,0,setup,register_worker,47,501.595678,88,7485,475,0,0xbfb550c93f76c3891d45a7db4bbe8724c5787be5fb2edebcbd3f076e82d8b140
RPPS-TDC,0,0,setup,register_worker,47,502.948443,88,7485,476,0,0x9c201fde19a3b55bdad61a790c0d2587bf33df7ff4f96cf1cda96314bb009c43
BSIF,0,0,setup,register_worker,48,498.283348,88,7485,477,0,0xe9355f3ff01cc445b5cb75a326fa19c39732ce2cf8cfa229a74f93ae0e6bdc6c
RPPS-TDC,0,0,setup,register_worker,48,500.406911,88,7485,478,0,0x5ef11c86556d68d5318afdd27138bf2ada6ce0f1fa8de10226d3632450a2392c
BSIF,0,0,setup,register_worker,49,500.707727,88,7485,479,0,0x1ada44db59b1e337f605d3e53e5a8c65735dd350f25d7a4dcd930a26e7f03b5b
RPPS-TDC,0,0,setup,register_worker,49,503.965339,88,7485,480,0,0x0889d269679ccea79f4e661aa93fc8355f758a69146c5d604b537be354f945c0
IRPP-TD,3,-1,normal,publish,0,489.406590,289,16530,481,0,0x5454fffcba5128b07289003c9276226951ddb982a9b4ccc5aec04e1b6f4aaec2
IRPP-TD,3,-1,normal,credential_refresh,1,467.480160,289,28384,482,0,0xb9b476948fcafa42dd9d0830935989ee0e0459f4f7b9de30366ab1b60854ca74
IRPP-TD,3,-1,normal,credential_refresh,2,537.294705,289,28384,483,0,0x0657bbaa0ff1553400cbd206b1fa5c459ca997fd86cee7ff95225fb8bb3bcac1
