method,scene,target_workers,seed,mode,malicious_ratio,strength,malicious_retained,malicious_total,malicious_report_leakage
QE,Climate,27,20260826,mature_anchor,0.3,0.5,487,487,1.0
PRTD,Climate,27,20260826,mature_anchor,0.3,0.5,487,487,1.0
QE,Climate,27,20260827,independent,0.3,0.5,639,639,1.0
PRTD,Climate,27,20260827,independent,0.3,0.5,639,639,1.0
QE,Climate,27,20260827,compact,0.3,0.5,639,639,1.0
PRTD,Climate,27,20260827,compact,0.3,0.5,639,639,1.0
QE,Climate,27,20260827,onoff,0.3,0.5,311,311,1.0
PRTD,Climate,27,20260827,onoff,0.3,0.5,311,311,1.0
QE,Climate,27,20260827,mature_anchor,0.3,0.5,488,488,1.0
PRTD,Climate,27,20260827,mature_anchor,0.3,0.5,488,488,1.0
QE,Climate,27,20260828,independent,0.3,0.5,651,651,1.0
PRTD,Climate,27,20260828,independent,0.3,0.5,651,651,1.0
QE,Climate,27,20260828,compact,0.3,0.5,651,651,1.0
PRTD,Climate,27,20260828,compact,0.3,0.5,651,651,1.0
QE,Climate,27,20260828,onoff,0.3,0.5,336,336,1.0
PRTD,Climate,27,20260828,onoff,0.3,0.5,336,336,1.0
QE,Climate,27,20260828,mature_anchor,0.3,0.5,487,487,1.0
PRTD,Climate,27,20260828,mature_anchor,0.3,0.5,487,487,1.0
QE,Climate,27,20260829,independent,0.3,0.5,661,661,1.0
PRTD,Climate,27,20260829,independent,0.3,0.5,661,661,1.0
QE,Climate,27,20260829,compact,0.3,0.5,661,661,1.0
PRTD,Climate,27,20260829,compact,0.3,0.5,661,661,1.0
QE,Climate,27,20260829,onoff,0.3,0.5,325,325,1.0
PRTD,Climate,27,20260829,onoff,0.3,0.5,325,325,1.0
QE,Climate,27,20260829,mature_anchor,0.3,0.5,495,495,1.0
PRTD,Climate,27,20260829,mature_anchor,0.3,0.5,495,495,1.0
QE,Climate,27,20260830,independent,0.3,0.5,649,649,1.0
PRTD,Climate,27,20260830,independent,0.3,0.5,649,649,1.0
QE,Climate,27,20260830,compact,0.3,0.5,649,649,1.0
PRTD,Climate,27,20260830,compact,0.3,0.5,649,649,1.0
QE,Climate,27,20260830,onoff,0.3,0.5,334,334,1.0
PRTD,Climate,27,20260830,onoff,0.3,0.5,334,334,1.0
QE,Climate,27,20260830,mature_anchor,0.3,0.5,463,463,1.0
PRTD,Climate,27,20260830,mature_anchor,0.3,0.5,463,463,1.0
QE,Climate,27,20260831,independent,0.3,0.5,647,647,1.0
PRTD,Climate,27,20260831,independent,0.3,0.5,647,647,1.0
QE,Climate,27,20260831,compact,0.3,0.5,647,647,1.0
PRTD,Climate,27,20260831,compact,0.3,0.5,647,647,1.0
QE,Climate,27,20260831,onoff,0.3,0.5,315,315,1.0
