variant,block_end,scene,seed,ordinary_anchor_purity
All-Anchors,30,Climate,20260809,0.6988847583643123
All-Anchors,30,Climate,20260810,0.6691449814126395
All-Anchors,30,Climate,20260811,0.7472118959107806
All-Anchors,30,Climate,20260812,0.6914498141263941
All-Anchors,30,Climate,20260813,0.6988847583643123
All-Anchors,30,Climate,20260814,0.7100371747211895
All-Anchors,30,Climate,20260815,0.6988847583643123
All-Anchors,30,Climate,20260816,0.7509293680297398
All-Anchors,30,Climate,20260817,0.6914498141263941
All-Anchors,30,Climate,20260818,0.6765799256505576
All-Anchors,30,Climate,20260819,0.6728624535315985
All-Anchors,30,Climate,20260820,0.7174721189591078
All-Anchors,30,Climate,20260821,0.7137546468401487
All-Anchors,30,Climate,20260822,0.6988847583643123
All-Anchors,30,Climate,20260823,0.6840148698884758
All-Anchors,30,Climate,20260824,0.654275092936803
All-Anchors,30,Climate,20260825,0.6654275092936803
All-Anchors,30,Climate,20260826,0.7100371747211895
All-Anchors,30,Climate,20260827,0.7509293680297398
All-Anchors,30,Climate,20260828,0.6951672862453532
All-Anchors,30,Climate,20260829,0.6914498141263941
All-Anchors,30,Climate,20260830,0.6319702602230484
All-Anchors,30,Climate,20260831,0.6691449814126395
All-Anchors,30,Climate,20260832,0.7100371747211895
All-Anchors,30,Climate,20260833,0.7063197026022305
All-Anchors,30,Climate,20260834,0.7360594795539034
All-Anchors,30,Climate,20260835,0.6951672862453532
All-Anchors,30,Climate,20260836,0.6505576208178439
All-Anchors,30,Climate,20260837,0.6765799256505576
All-Anchors,30,Traffic,20260808,0.6956521739130435
All-Anchors,30,Traffic,20260809,0.7053140096618358
All-Anchors,30,Traffic,20260810,0.7053140096618358
All-Anchors,30,Traffic,20260811,0.7294685990338164
All-Anchors,30,Traffic,20260812,0.6956521739130435
All-Anchors,30,Traffic,20260813,0.714975845410628
All-Anchors,30,Traffic,20260814,0.7198067632850241
All-Anchors,30,Traffic,20260815,0.7294685990338164
All-Anchors,30,Traffic,20260816,0.6956521739130435
All-Anchors,30,Traffic,20260817,0.6666666666666666
All-Anchors,30,Traffic,20260818,0.7391304347826086
All-Anchors,30,Traffic,20260819,0.6618357487922706
All-Anchors,30,Traffic,20260820,0.714975845410628
All-Anchors,30,Traffic,20260821,0.7246376811594203
All-Anchors,30,Traffic,20260822,0.6956521739130435
All-Anchors,30,Traffic,20260823,0.7101449275362319
All-Anchors,30,Traffic,20260824,0.6956521739130435
All-Anchors,30,Traffic,20260825,0.6956521739130435
All-Anchors,30,Traffic,20260826,0.6908212560386473
All-Anchors,30,Traffic,20260827,0.7053140096618358
All-Anchors,30,Traffic,20260828,0.6956521739130435
All-Anchors,30,Traffic,20260829,0.7294685990338164
All-Anchors,30,Traffic,20260830,0.714975845410628
All-Anchors,30,Traffic,20260831,0.6811594202898551
All-Anchors,30,Traffic,20260832,0.6956521739130435
All-Anchors,30,Traffic,20260833,0.6811594202898551
All-Anchors,30,Traffic,20260834,0.714975845410628
All-Anchors,30,Traffic,20260835,0.7246376811594203
All-Anchors,30,Traffic,20260836,0.6859903381642513
