method,target_workers,malicious_ratio,nrmse,nrmse_ci_low,nrmse_ci_high,seeds,no_truth_rate,no_truth_rate_ci_low,no_truth_rate_ci_high
IRPP-TD,27,0.1,0.0011991579058101979,0.0011855789764449647,0.001212031332347154,30,0.0,0.0,0.0
IRPP-TD,27,0.2,0.0012713518566893117,0.001256752389981711,0.0012857805636612252,30,0.0,0.0,0.0
IRPP-TD,27,0.3,0.0013729304833582571,0.0013565138730228395,0.0013875192428906287,30,0.0,0.0,0.0
IRPP-TD,27,0.4,0.001488777537270073,0.0014718879123660402,0.0015039670828833219,30,0.0,0.0,0.0
IRPP-TD,27,0.5,0.001637796042332578,0.0016171996161576834,0.0016602131399070987,30,0.0,0.0,0.0
IRPP-TD,27,0.6,0.00181220536008882,0.0017935489698061523,0.0018293854796040412,30,0.0,0.0,0.0
IRPP-TD,27,0.7,0.0020069923453401857,0.0019877600479655242,0.002026508994956349,30,0.0,0.0,0.0
IRPP-TD,27,0.8,0.0021478468526122787,0.002126559508859258,0.0021690497809445917,30,0.0,0.0,0.0
IRPP-TD,39,0.0,0.0009252052269095322,0.0009173668210996395,0.0009330671160357877,30,0.0,0.0,0.0
IRPP-TD,39,0.1,0.0009778587161356745,0.0009689639547051356,0.0009870142763821518,30,0.0,0.0,0.0
IRPP-TD,39,0.2,0.0010417413277021956,0.0010317401293706671,0.0010515067532978321,30,0.0,0.0,0.0
IRPP-TD,39,0.3,0.0011177571041428094,0.0011058122120919172,0.0011285397349151695,30,0.0,0.0,0.0
IRPP-TD,39,0.4,0.001209416468333461,0.0011971111183454043,0.0012213922650277439,30,0.0,0.0,0.0
IRPP-TD,39,0.5,0.001332802432996325,0.0013201170906234772,0.0013451083694121287,30,0.0,0.0,0.0
IRPP-TD,39,0.6,0.0014799783789463314,0.0014631014028659549,0.0014961558799639488,30,0.0,0.0,0.0
IRPP-TD,39,0.7,0.001709221225471872,0.0016897748285264395,0.0017289310492656549,30,0.0,0.0,0.0
IRPP-TD,39,0.8,0.0020094129273258007,0.001984148386961598,0.0020333987175584186,30,0.0,0.0,0.0
PRTD,27,0.0,0.0012743322489459767,0.0012626341045690686,0.001285312922639523,30,0.0,0.0,0.0
PRTD,27,0.1,0.004610808044947099,0.004475490338647156,0.004750064328248241,30,0.0,0.0,0.0
PRTD,27,0.2,0.015734239406056942,0.014055021715858792,0.01771812275222769,30,0.0,0.0,0.0
PRTD,27,0.3,0.046338194842228134,0.04260160108516608,0.05017221036778696,30,0.0,0.0,0.0
PRTD,27,0.4,0.15087054835063182,0.14713438737013915,0.1544484366284291,30,0.0,0.0,0.0
PRTD,27,0.5,0.31257492004597187,0.3100724655959827,0.3149680723489475,30,0.0,0.0,0.0
PRTD,27,0.6,0.4301348692067914,0.42842015098106945,0.43200756016155967,30,0.0,0.0,0.0
PRTD,27,0.7,0.47236496507584663,0.4716905202742241,0.4730935819576728,30,0.0,0.0,0.0
PRTD,27,0.8,0.4884051258228095,0.4881439224071481,0.48868077198436155,30,0.0,0.0,0.0
PRTD,39,0.0,0.0010244407128185817,0.0010152580511863852,0.0010333251691771502,30,0.0,0.0,0.0
PRTD,39,0.1,0.0043964471770968115,0.004280893101634846,0.0045071495614320495,30,0.0,0.0,0.0
PRTD,39,0.2,0.012952743712062429,0.012691439216231965,0.013219037193105089,30,0.0,0.0,0.0
PRTD,39,0.3,0.03051915818374202,0.02874911815480027,0.03268138486627327,30,0.0,0.0,0.0
PRTD,39,0.4,0.10855929758944387,0.10477685731124549,0.11275083430286853,30,0.0,0.0,0.0
