method,target_workers,malicious_ratio,scene,seed,tasks,no_truth_count,norm_sq_sum,sq_sum,norm_abs_sum,abs_sum,dimension,nrmse,rmse,nmae,mae,no_truth_rate
CRH-N,27,0.0,Climate,20260827,80,0,0.00853108645504353,290.07823975338556,1.3337326217552565,236.08433899433035,400,0.004618194034209566,0.8515841704631809,0.003334331554388141,0.5902108474858259,0.0
CRH-N,27,0.0,Climate,20260828,80,0,0.008642863199029809,292.24630594177665,1.319544961226851,231.79960186652457,400,0.0046483500295884045,0.8547606476987822,0.0032988624030671275,0.5794990046663114,0.0
CRH-N,27,0.0,Climate,20260829,80,0,0.007174489258386307,245.84866319215072,1.223817422323304,214.2485195174659,400,0.0042351178432206305,0.7839780978958384,0.00305954355580826,0.5356212987936647,0.0
CRH-N,27,0.0,Climate,20260830,80,0,0.008747273188495162,292.37549210734034,1.3469861287286806,236.02141644209462,400,0.004676342905651584,0.8549495483760143,0.0033674653218217017,0.5900535411052366,0.0
CRH-N,27,0.0,Climate,20260831,80,0,0.007252232614385296,227.03712865237333,1.235322510397587,209.31710853154422,400,0.004258002059177901,0.753387564027263,0.003088306275993967,0.5232927713288605,0.0
CRH-N,27,0.0,Climate,20260832,80,0,0.007757356610526549,316.7270972982148,1.30246650451227,231.9936436731655,400,0.004403792856881029,0.8898414146608018,0.003256166261280675,0.5799841091829138,0.0
CRH-N,27,0.0,Climate,20260833,80,0,0.008074339939908411,236.02317838219693,1.2895288518325807,216.66040187018925,400,0.004492866551520424,0.7681522934649693,0.003223822129581452,0.5416510046754731,0.0
CRH-N,27,0.0,Climate,20260834,80,0,0.0065398578112799526,208.8695138313428,1.168222569535432,201.09962919067493,400,0.004043469367783052,0.7226159315835466,0.00292055642383858,0.5027490729766874,0.0
CRH-N,27,0.0,Climate,20260835,80,0,0.00710452881076584,241.15720200113503,1.2070811555776837,212.80175769301846,400,0.004214418349774331,0.7764618503203088,0.003017702888944209,0.5320043942325462,0.0
CRH-N,27,0.0,Climate,20260836,80,0,0.007682684780090369,256.45997111078503,1.2188137150765477,213.90796311722826,400,0.004382546286147577,0.8007183823148827,0.003047034287691369,0.5347699077930707,0.0
CRH-N,27,0.0,Climate,20260837,80,0,0.007364935274949408,249.38755015853292,1.2775781976472782,224.24814583464132,400,0.004290960054273813,0.789600453011732,0.0031939454941181957,0.5606203645866032,0.0
CRH-N,27,0.0,Traffic,20260808,80,0,0.0004654095115010037,7324.054233661425,0.26112118126763983,866.833302647589,480,0.00098468428897816,3.90620612873002,0.0005440024609742497,1.8059027138491437,0.0
CRH-N,27,0.0,Traffic,20260809,80,0,0.0004372405385145717,6119.148228982637,0.2525549875069379,832.0172141099499,480,0.0009544201321074616,3.5704657227100167,0.0005261562239727873,1.7333691960623956,0.0
CRH-N,27,0.0,Traffic,20260810,80,0,0.00036488785501180993,7004.518274052335,0.24667537856831934,843.1091511155716,480,0.0008718847580240201,3.8200453406047026,0.0005139070386839986,1.7564773981574409,0.0
CRH-N,27,0.0,Traffic,20260811,80,0,0.0005629612199130816,7713.797362631906,0.2720719852745244,874.7881172574314,480,0.0010829754728611909,4.00879173469386,0.0005668166359885926,1.8224752442863155,0.0
CRH-N,27,0.0,Traffic,20260812,80,0,0.0004938387199071179,5341.375834588843,0.2672404416445391,831.5400540802107,480,0.0010143129036314002,3.3358456682017064,0.0005567509200927898,1.7323751126671056,0.0
CRH-N,27,0.0,Traffic,20260813,80,0,0.0005622529750381145,6561.492961026741,0.26971398028670607,846.2856638999251,480,0.001082294028747613,3.697266152461714,0.0005619041255973043,1.763095133124844,0.0
CRH-N,27,0.0,Traffic,20260814,80,0,0.00043394073418277947,7150.357592574254,0.25469926867451104,828.3995178412708,480,0.0009508118616288523,3.859608570550002,0.0005306234764052314,1.725832328835981,0.0
CRH-N,27,0.0,Traffic,20260815,80,0,0.0004416369401453281,6239.403233004823,0.25974470883217515,851.5658508988442,480,0.0009592064212858983,3.605378861565968,0.0005411348100670315,1.7740955227059254,0.0
CRH-N,27,0.0,Traffic,20260816,80,0,0.0003379783922461448,7006.4780238601525,0.2341806294839055,793.4418837094273,480,0.0008391195686627751,3.8205796963779353,0.00048787631142480314,1.6530039243946402,0.0
CRH-N,27,0.0,Traffic,20260817,80,0,0.00048661977421596476,9617.989875503683,0.2676723395484501,954.4693981203383,480,0.001006871986045525,4.476324262975074,0.0005576507073926044,1.9884779127507046,0.0
CRH-N,27,0.0,Traffic,20260818,80,0,0.0004219306207544584,6129.416052519947,0.2520012927549933,836.1703421216362,480,0.0009375617988014381,3.5734600565954593,0.0005250026932395694,1.742021546086742,0.0
CRH-N,27,0.0,Traffic,20260819,80,0,0.00042578093573238286,6204.291485224795,0.25806621414715886,861.2951031374023,480,0.000941829929503799,3.5952200573657502,0.0005376379461399142,1.7943647982029214,0.0
CRH-N,27,0.0,Traffic,20260820,80,0,0.0005259741206079767,6844.611085447508,0.26056543108093894,893.6682374383765,480,0.0010467948308686306,3.7761894057390237,0.0005428446480852894,1.8618088279966178,0.0
CRH-N,27,0.0,Traffic,20260821,80,0,0.0004289854129823912,6483.533303282434,0.2604736983305254,847.0504692987536,480,0.0009453674472817337,3.6752361894856596,0.0005426535381885946,1.7646884777057366,0.0
CRH-N,27,0.0,Traffic,20260822,80,0,0.00045039606453206897,6798.6777456924565,0.2562656368785408,879.0267803285841,480,0.0009686718404298797,3.763497305724108,0.00053388674349696,1.8313057923512168,0.0
CRH-N,27,0.0,Traffic,20260823,80,0,0.00048717406819926665,7521.518231206401,0.2493543677591429,845.6275253883404,480,0.0010074452716724313,3.958513565512523,0.0005194882661648811,1.761724011225709,0.0
CRH-N,27,0.0,Traffic,20260824,80,0,0.0004046469245993086,5622.358710627324,0.25248592565222255,839.5784154625904,480,0.0009181581706049125,3.4224621712747867,0.000526012345108797,1.7491216988803968,0.0
CRH-N,27,0.0,Traffic,20260825,80,0,0.00036466388906269693,6088.216379342647,0.24469723296356047,832.3285236128542,480,0.0008716171381674899,3.5614300672104338,0.0005097859020074177,1.7340177575267794,0.0
CRH-N,27,0.0,Traffic,20260826,80,0,0.0004254628681573203,4611.433540216384,0.25741937416710514,800.9125082491046,480,0.0009414780801100739,3.0995408061169534,0.0005362903628481357,1.668567725518968,0.0
CRH-N,27,0.0,Traffic,20260827,80,0,0.000389754406831393,5437.22116175535,0.2462160583478519,763.7210370479494,480,0.0009011039604648301,3.3656417050824516,0.0005129501215580248,1.5910854938498946,0.0
CRH-N,27,0.0,Traffic,20260828,80,0,0.0003953120795681446,5751.982381213651,0.25064261364335927,856.3779145831678,480,0.0009075058305232174,3.461689851435053,0.0005221721117569985,1.7841206553815996,0.0
CRH-N,27,0.0,Traffic,20260829,80,0,0.00041927835752360564,5699.960851105108,0.24796577743001819,826.0824732669854,480,0.0009346103884369029,3.4460003540049597,0.0005165953696458712,1.721005152639553,0.0
CRH-N,27,0.0,Traffic,20260830,80,0,0.00043584169266626366,8159.193141137568,0.2453222585452141,872.2435532159703,480,0.0009528921903279769,4.122901774725733,0.0005110880386358628,1.8171740691999383,0.0
CRH-N,27,0.0,Traffic,20260831,80,0,0.0004643677269569638,4814.064705319079,0.24948397993360596,780.2167904345187,480,0.0009835816003228581,3.1669072404184413,0.0005197582915283458,1.6254516467385804,0.0
CRH-N,27,0.0,Traffic,20260832,80,0,0.0004675934087835375,7567.892289751575,0.25739424145420586,894.7659307854352,480,0.000986991861651201,3.9706979575782118,0.0005362380030295955,1.8640956891363234,0.0
CRH-N,27,0.0,Traffic,20260833,80,0,0.00043855815496800183,11169.541355736557,0.2528694110887197,984.1369412402383,480,0.0009558571142435484,4.823886174491595,0.0005268112731014994,2.0502852942504965,0.0
CRH-N,27,0.0,Traffic,20260834,80,0,0.0005026832322672975,7369.236582000918,0.2701243112262698,922.0287360117609,480,0.001023355624350696,3.918236365062975,0.0005627589817213954,1.9208932000245018,0.0
CRH-N,27,0.0,Traffic,20260835,80,0,0.0003806351276319587,6059.249397316805,0.24473066103076044,806.164647398508,480,0.0008904997749765282,3.5529475431548394,0.0005098555438140843,1.679509682080225,0.0
CRH-N,27,0.0,Traffic,20260836,80,0,0.00033401001925508763,7201.821306079737,0.22905357066748283,836.2276505036098,480,0.0008341787618858637,3.873473168574441,0.00047719493889058926,1.742140938549187,0.0
CRH-N,27,0.0,Traffic,20260837,80,0,0.0004488168342126069,6178.5071873325405,0.2601657518661496,831.0654023375987,480,0.0009669721150458603,3.5877416258155295,0.0005420119830544783,1.7313862548699972,0.0
CRH-N,27,0.0,Water,20260808,80,0,0.018071913283434268,19296.337178716287,2.682128876423274,1194.0415486920933,720,0.005009977999984169,5.1769168724031704,0.003725178995032325,1.6583910398501296,0.0
CRH-N,27,0.0,Water,20260809,80,0,0.01689193029447269,22383.74520079816,2.5634221904983265,1100.2294269506156,720,0.0048436571201808595,5.57570937200896,0.0035603085979143425,1.5280964263202994,0.0
CRH-N,27,0.0,Water,20260810,80,0,0.016118860398886544,18622.781991371616,2.4660794807906288,1117.774938754078,720,0.004731522599498458,5.085761986960866,0.0034251103899869844,1.5524651927139972,0.0
CRH-N,27,0.0,Water,20260811,80,0,0.01660021880660258,29553.624211478138,2.5922832017635846,1264.6468516253055,720,0.004801651742225241,6.406769879878599,0.0036003933357827565,1.7564539605907021,0.0
CRH-N,27,0.0,Water,20260812,80,0,0.01566529436666417,21703.65260122882,2.506852250031533,1187.2785387279753,720,0.004664477815043563,5.490351714248472,0.003481739236154907,1.6489979704555213,0.0
CRH-N,27,0.0,Water,20260813,80,0,0.016043152026135543,28466.69504513468,2.525911578431162,1277.202977869871,720,0.0047203978213552,6.287851497258498,0.003508210525598836,1.773893024819265,0.0
CRH-N,27,0.0,Water,20260814,80,0,0.017240731157734012,25168.694330116836,2.6059591647505247,1203.512568993729,720,0.0048934098480811145,5.912403902216091,0.003619387728820173,1.6715452347135125,0.0
CRH-N,27,0.0,Water,20260815,80,0,0.016857062691481507,15447.586488968156,2.55393855098744,991.9090057739214,720,0.004838655502461618,4.631952205569267,0.003547136876371445,1.3776513969082242,0.0
CRH-N,27,0.0,Water,20260816,80,0,0.01756780347253257,26009.587261772063,2.6147735393668974,1232.2601194619992,720,0.00493960798497048,6.010359951988001,0.0036316299157873573,1.7114723881416656,0.0
CRH-N,27,0.0,Water,20260817,80,0,0.017137905145988716,21231.905060095167,2.5775694448138013,1137.8880432230792,720,0.00487879555178278,5.430355147493574,0.003579957562241391,1.5804000600320545,0.0
CRH-N,27,0.0,Water,20260818,80,0,0.01684168239390934,17057.908006176036,2.525358954709505,1087.3605330319717,720,0.004836447616494601,4.86739549425221,0.0035074429926520902,1.5102229625444052,0.0
CRH-N,27,0.0,Water,20260819,80,0,0.018096194404080647,23016.521589508906,2.7101894275189466,1164.4000323461762,720,0.00501334253158518,5.653971267749788,0.003764151982665204,1.617222267147467,0.0
CRH-N,27,0.0,Water,20260820,80,0,0.01855298361220582,23664.96768361168,2.6619821856648125,1209.028461373864,720,0.005076222295637801,5.733062939797791,0.0036971974800900174,1.679206196352589,0.0
CRH-N,27,0.0,Water,20260821,80,0,0.017776383616110836,22414.603805960935,2.6495225239933133,1104.5637390742306,720,0.004968845106163285,5.5795514313379835,0.0036798923944351574,1.5341163042697648,0.0
CRH-N,27,0.0,Water,20260822,80,0,0.018369268875560642,31872.74099124713,2.6634305505133944,1289.7584027520443,720,0.0050510269686746545,6.653397314243045,0.00369920909793527,1.7913311149333948,0.0
CRH-N,27,0.0,Water,20260823,80,0,0.017733537625937542,25515.877676379514,2.628229510629437,1248.0546280066378,720,0.0049628533495719674,5.953042834968647,0.003650318764763107,1.7334092055647747,0.0
CRH-N,27,0.0,Water,20260824,80,0,0.018564270106403154,14047.90910688772,2.675412501988164,975.4779193640707,720,0.0050777660916111024,4.417124049727083,0.0037158506972057833,1.3548304435612093,0.0
CRH-N,27,0.0,Water,20260825,80,0,0.017988610184845166,23882.193963484355,2.7078574792113588,1265.779596783014,720,0.00499841783090259,5.759315396657203,0.0037609131655713317,1.7580272177541862,0.0
CRH-N,27,0.0,Water,20260826,80,0,0.01837539914286438,19744.406172719435,2.686078234676699,1168.0534396472578,720,0.0050518697230256,5.23667703329117,0.003730664214828749,1.6222964439545249,0.0
CRH-N,27,0.0,Water,20260827,80,0,0.016758651531768507,32032.09235711646,2.5643521037534485,1282.52798800935,720,0.004824510846213742,6.670008782802445,0.003561600144102012,1.7812888722352085,0.0
CRH-N,27,0.0,Water,20260828,80,0,0.01674189069541604,17182.84841463189,2.6203836508886407,1116.5744983514307,720,0.004822097672782626,4.885188557522042,0.0036394217373453344,1.5507979143769872,0.0
CRH-N,27,0.0,Water,20260829,80,0,0.01626905752165908,21952.849146897515,2.530669793008118,1110.519330552193,720,0.0047535158803275815,5.521781257853291,0.0035148191569557194,1.542387959100268,0.0
CRH-N,27,0.0,Water,20260830,80,0,0.01751821766410006,27685.71636157222,2.6038271609905816,1275.5721808148514,720,0.004932631941145177,6.200998615990571,0.003616426612486919,1.7716280289095159,0.0
CRH-N,27,0.0,Water,20260831,80,0,0.01772921582107574,14640.574053818102,2.595857967368784,995.0930526647272,720,0.004962248569207834,4.509338158788152,0.0036053582880122,1.3820736842565655,0.0
CRH-N,27,0.0,Water,20260832,80,0,0.017133589534208987,25139.333413874974,2.5625171742944204,1121.2040517087933,720,0.004878181231857404,5.908954294340424,0.0035590516309644727,1.5572278495955463,0.0
CRH-N,27,0.0,Water,20260833,80,0,0.01776510141989657,16574.666502629894,2.6555334769327046,999.6328456028592,720,0.00496726805921309,4.79795478746325,0.003688240940184312,1.3883789522261933,0.0
CRH-N,27,0.0,Water,20260834,80,0,0.016762859435730883,23732.57004970118,2.5837594858696797,1112.7616726832894,720,0.004825116497691314,5.741245757395096,0.003588554841485666,1.5455023231712353,0.0
CRH-N,27,0.0,Water,20260835,80,0,0.01783914896895568,32685.75784100964,2.658978164253804,1278.7009189459577,720,0.004977609445327769,6.7377211199552605,0.0036930252281302837,1.7759734985360525,0.0
CRH-N,27,0.0,Water,20260836,80,0,0.017708981359087737,22882.451251312243,2.633133822775106,1190.233069018522,720,0.00495941603852484,5.637480136859839,0.00365713030940987,1.6531014847479473,0.0
CRH-N,27,0.0,Water,20260837,80,0,0.017269036107966124,23861.798193352726,2.6624873471799004,1165.9616458130047,720,0.00489742507570817,5.756855598298134,0.0036978990933054174,1.6193911747402843,0.0
CRH-N,27,0.1,Climate,20260808,80,0,0.008080792295829252,296.5872135305657,1.281120214160933,225.27839898478945,400,0.004494661359832699,0.8610853812639105,0.0032028005354023327,0.5631959974619736,0.0
CRH-N,27,0.1,Climate,20260809,80,0,0.008952435841396905,343.6739289524816,1.3743511485785407,249.90718922313977,400,0.004730865629405708,0.9269222310319265,0.0034358778714463517,0.6247679730578494,0.0
CRH-N,27,0.1,Climate,20260810,80,0,0.007718968356810391,277.58661799666913,1.306736516952937,233.14142940380813,400,0.00439288298182708,0.833046544312905,0.0032668412923823427,0.5828535735095204,0.0
CRH-N,27,0.1,Climate,20260811,80,0,0.008517847451940576,309.5934094354808,1.3418204564159113,234.13486991177953,400,0.0046146092607989506,0.8797633338510432,0.0033545511410397783,0.5853371747794488,0.0
CRH-N,27,0.1,Climate,20260812,80,0,0.008834081577408765,350.60417619802934,1.410530663289233,252.76734536458738,400,0.004699489753528772,0.9362213629773,0.003526326658223082,0.6319183634114685,0.0
CRH-N,27,0.1,Climate,20260813,80,0,0.008429346759759898,360.67720983698456,1.337238689090129,249.45451926273356,400,0.004590573700464872,0.9495751811165145,0.0033430967227253226,0.6236362981568339,0.0
CRH-N,27,0.1,Climate,20260814,80,0,0.008678997147811908,271.7085854630209,1.3151331214005682,224.96031255150262,400,0.004658056769676575,0.8241792666996375,0.0032878328035014204,0.5624007813787566,0.0
CRH-N,27,0.1,Climate,20260815,80,0,0.0068996463120399205,299.1652889783206,1.2329972137624732,226.83692838106865,400,0.0041532054825279,0.8648197629829012,0.003082493034406183,0.5670923209526716,0.0
CRH-N,27,0.1,Climate,20260816,80,0,0.009082726989635278,299.3755830318898,1.3859288178032194,238.08528891686854,400,0.004765167098233617,0.86512366606152,0.0034648220445080485,0.5952132222921713,0.0
CRH-N,27,0.1,Climate,20260817,80,0,0.009518112463677451,287.19574593428024,1.3493129655519212,232.00830761494865,400,0.004878040709054572,0.8473425309965862,0.003373282413879803,0.5800207690373717,0.0
CRH-N,27,0.1,Climate,20260818,80,0,0.008750104330886327,310.27065548158276,1.3434554693444765,239.57881568880836,400,0.004677099616986559,0.8807250641965158,0.003358638673361191,0.5989470392220209,0.0
CRH-N,27,0.1,Climate,20260819,80,0,0.007875230978499246,275.79108836257376,1.29536943135992,230.5256939059262,400,0.00443712490766804,0.8303479517084597,0.0032384235783998,0.5763142347648155,0.0
CRH-N,27,0.1,Climate,20260820,80,0,0.008895557021504859,359.9506240502194,1.3956590921038974,250.52106169863072,400,0.0047158130321040236,0.9486182372933532,0.0034891477302597435,0.6263026542465768,0.0
CRH-N,27,0.1,Climate,20260821,80,0,0.008541021339452035,281.98154127987726,1.3285998483913262,229.27536074562397,400,0.004620882312787255,0.8396153007179498,0.0033214996209783155,0.57318840186406,0.0
CRH-N,27,0.1,Climate,20260822,80,0,0.007919206351082796,324.3511246758945,1.2937090450004678,238.90611338435247,400,0.004449496137508942,0.9004875411074471,0.0032342726125011694,0.5972652834608811,0.0
CRH-N,27,0.1,Climate,20260823,80,0,0.007612676812414927,289.621584320935,1.3043523102372623,233.28980584210225,400,0.004362532754150657,0.8509136036063459,0.0032608807755931555,0.5832245146052556,0.0
CRH-N,27,0.1,Climate,20260824,80,0,0.009116507082963797,346.8674727710021,1.4566279349412243,262.07008673781127,400,0.004774020078236946,0.9312189226640024,0.003641569837353061,0.6551752168445282,0.0
CRH-N,27,0.1,Climate,20260825,80,0,0.007928673531753512,275.22607868927076,1.3320077843783713,236.14158836614413,400,0.004452154964664166,0.8294969540168167,0.003330019460945928,0.5903539709153603,0.0
CRH-N,27,0.1,Climate,20260826,80,0,0.0077715000470669855,304.29643406824835,1.292481703765946,231.13840923846803,400,0.004407805589822158,0.8722047266385461,0.0032312042594148647,0.5778460230961701,0.0
CRH-N,27,0.1,Climate,20260827,80,0,0.009215561789968199,301.5791519152737,1.3640476212423398,239.9418084829658,400,0.004799885881447651,0.8683017216314755,0.0034101190531058497,0.5998545212074144,0.0
CRH-N,27,0.1,Climate,20260828,80,0,0.008838073625608437,340.132085846632,1.3665048712033607,244.33702812089928,400,0.004700551463820079,0.9221335123595606,0.0034162621780084016,0.6108425703022482,0.0
CRH-N,27,0.1,Climate,20260829,80,0,0.007714613232217953,258.7942815087674,1.3152586726430238,229.57119986508692,400,0.004391643551171347,0.804354215362808,0.0032881466816075595,0.5739279996627173,0.0
CRH-N,27,0.1,Climate,20260830,80,0,0.008315470301356155,291.35341786513413,1.323267619326306,232.66203242934398,400,0.0045594600287084865,0.8534538913513929,0.003308169048315765,0.58165508107336,0.0
CRH-N,27,0.1,Climate,20260831,80,0,0.007832087414065339,254.46749960093405,1.262490831790529,218.89406511114572,400,0.004424954071531517,0.7976018737455016,0.0031562270794763224,0.5472351627778643,0.0
CRH-N,27,0.1,Climate,20260832,80,0,0.008850669892767341,339.55753212983274,1.3750627263256727,245.08498888300917,400,0.004703899949182418,0.9213543456914836,0.0034376568158141817,0.6127124722075229,0.0
CRH-N,27,0.1,Climate,20260833,80,0,0.009369850416412768,307.5488256652049,1.377846441328167,240.39670922678494,400,0.004839899383358286,0.8768535021102511,0.0034446161033204175,0.6009917730669624,0.0
CRH-N,27,0.1,Climate,20260834,80,0,0.007480403683084687,283.30705271380293,1.267509549907803,229.7171472484604,400,0.004324466349471541,0.8415863780887304,0.003168773874769508,0.574292868121151,0.0
CRH-N,27,0.1,Climate,20260835,80,0,0.008903263819625942,304.359045441076,1.3442562502379227,236.40145995984938,400,0.004717855397218619,0.8722944534976076,0.0033606406255948067,0.5910036498996234,0.0
CRH-N,27,0.1,Climate,20260836,80,0,0.008713359532444898,302.76272536159775,1.3082068279318142,234.7951560812081,400,0.004667268883524095,0.87000391574061,0.0032705170698295355,0.5869878902030202,0.0
CRH-N,27,0.1,Climate,20260837,80,0,0.007372823411753474,285.60310801251995,1.2708129381507032,229.8236724056732,400,0.0042932573332358824,0.8449898046907429,0.0031770323453767578,0.574559181014183,0.0
CRH-N,27,0.1,Traffic,20260808,80,0,0.00047892111411255013,8730.010402979835,0.2692469435740362,968.5694184239545,480,0.000998875528315622,4.264683068280063,0.0005609311324459088,2.0178529550499054,0.0
CRH-N,27,0.1,Traffic,20260809,80,0,0.0003350543701952777,6092.930400482498,0.24822148266471608,864.6620597968003,480,0.0008354818597114054,3.562808583267589,0.0005171280888848251,1.801379291243334,0.0
CRH-N,27,0.1,Traffic,20260810,80,0,0.000569936013751321,13013.50193914473,0.28012015842162696,1030.496453479916,480,0.0010896635697843864,5.2068668480400175,0.0005835836633783895,2.1468676114164915,0.0
CRH-N,27,0.1,Traffic,20260811,80,0,0.0005853355637772342,7937.763049804958,0.28543381233932824,934.6415322089118,480,0.0011042866888641605,4.066571818345316,0.0005946537757069338,1.9471698587685664,0.0
CRH-N,27,0.1,Traffic,20260812,80,0,0.0005313120853996893,8692.687745024377,0.2817395734921014,961.1188588363348,480,0.0010520932363227223,4.255557088733208,0.0005869574447752112,2.0023309559090308,0.0
CRH-N,27,0.1,Traffic,20260813,80,0,0.0005321761595538902,8568.640982045681,0.2695481180395176,899.1498317735179,480,0.0010529483996872485,4.22508406771532,0.000561558579248995,1.873228816194829,0.0
CRH-N,27,0.1,Traffic,20260814,80,0,0.0004823253018108483,8685.90879383527,0.2691936065040704,907.9380453343183,480,0.0010024192629696422,4.25389742712376,0.0005608200135501468,1.8915375944464965,0.0
CRH-N,27,0.1,Traffic,20260815,80,0,0.0004224831052980643,8364.134481029367,0.25330837963756114,897.1021526462198,480,0.0009381754292442506,4.1743598513797515,0.0005277257909115857,1.8689628180129578,0.0
CRH-N,27,0.1,Traffic,20260816,80,0,0.0005301137865697875,8074.399162649956,0.26604492396080365,895.5424583106558,480,0.0010509061432974834,4.10142230478494,0.0005542602582516743,1.8657134548138663,0.0
CRH-N,27,0.1,Traffic,20260817,80,0,0.0004276104788827222,8613.611620434976,0.2517941286112073,878.5838141686705,480,0.0009438512405771392,4.2361567734492,0.0005245711012733486,1.8303829461847303,0.0
CRH-N,27,0.1,Traffic,20260818,80,0,0.00045975748675491885,8281.017561654988,0.2679477003675836,947.3032759705779,480,0.0009786869251226773,4.153567132010094,0.0005582243757657992,1.9735484916053707,0.0
CRH-N,27,0.1,Traffic,20260819,80,0,0.00040609624996536714,9028.86894983299,0.25253688510199646,900.6296838054202,480,0.0009198009861347806,4.337066248685325,0.0005261185106291593,1.876311841261292,0.0
CRH-N,27,0.1,Traffic,20260820,80,0,0.0005468883680682262,6766.6230832886495,0.2715944410667372,894.1064405444965,480,0.0010674037506064912,3.7546146837615733,0.0005658217522223691,1.8627217511343679,0.0
CRH-N,27,0.1,Traffic,20260821,80,0,0.0003993835179482554,7729.303194755325,0.26746426896599645,913.5740514487484,480,0.0009121671972426613,4.012818833323228,0.0005572172270124926,1.9032792738515592,0.0
CRH-N,27,0.1,Traffic,20260822,80,0,0.0004641847841079355,9436.004126880669,0.2667823816373883,997.1664714059663,480,0.0009833878347621546,4.433772877696984,0.0005557966284112256,2.0774301487624296,0.0
CRH-N,27,0.1,Traffic,20260823,80,0,0.00043503419348639346,9556.855348074641,0.2598211153158361,924.8251911717209,480,0.0009520090527037998,4.462075224431882,0.0005412939902413252,1.9267191482744186,0.0
CRH-N,27,0.1,Traffic,20260824,80,0,0.0003344787724954837,6960.0105475070295,0.24158813721582345,893.5060483705021,480,0.0008347639043659337,3.8078894382548687,0.0005033086191996322,1.8614709341052127,0.0
