method,mode,scene,seed,honest_report_acceptance
IRPP-TD,onoff,Climate,20260812,0.9851951547779273
IRPP-TD,onoff,Climate,20260813,0.9842312746386334
IRPP-TD,onoff,Climate,20260814,0.9479843953185956
IRPP-TD,onoff,Climate,20260815,0.9713541666666666
IRPP-TD,onoff,Climate,20260816,0.9667994687915007
IRPP-TD,onoff,Climate,20260817,0.9608865710560626
IRPP-TD,onoff,Climate,20260818,0.934156378600823
IRPP-TD,onoff,Climate,20260819,0.9734395750332006
IRPP-TD,onoff,Climate,20260820,0.963758389261745
IRPP-TD,onoff,Climate,20260821,0.9583892617449664
IRPP-TD,onoff,Climate,20260822,0.9515072083879423
IRPP-TD,onoff,Climate,20260823,0.9689922480620154
IRPP-TD,onoff,Climate,20260824,0.9514824797843666
IRPP-TD,onoff,Climate,20260825,0.9813829787234043
IRPP-TD,onoff,Climate,20260826,0.9470899470899471
IRPP-TD,onoff,Climate,20260827,0.9765319426336375
IRPP-TD,onoff,Climate,20260828,0.9609164420485176
IRPP-TD,onoff,Climate,20260829,0.9774236387782205
IRPP-TD,onoff,Climate,20260830,0.946236559139785
IRPP-TD,onoff,Climate,20260831,0.9685452162516383
IRPP-TD,onoff,Climate,20260832,0.9548472775564409
IRPP-TD,onoff,Climate,20260833,0.9564032697547684
IRPP-TD,onoff,Climate,20260834,0.9589403973509933
IRPP-TD,onoff,Climate,20260835,0.9489528795811518
IRPP-TD,onoff,Climate,20260836,0.9591836734693877
IRPP-TD,onoff,Climate,20260837,0.9718498659517426
IRPP-TD,onoff,Traffic,20260808,0.9609882964889467
IRPP-TD,onoff,Traffic,20260809,0.968503937007874
IRPP-TD,onoff,Traffic,20260810,0.9120310478654593
IRPP-TD,onoff,Traffic,20260811,0.8981958762886598
IRPP-TD,onoff,Traffic,20260812,0.9154746423927178
IRPP-TD,onoff,Traffic,20260813,0.9298469387755102
IRPP-TD,onoff,Traffic,20260814,0.9530638852672751
IRPP-TD,onoff,Traffic,20260815,0.9305555555555556
IRPP-TD,onoff,Traffic,20260816,0.9453621346886912
IRPP-TD,onoff,Traffic,20260817,0.9206762028608583
IRPP-TD,onoff,Traffic,20260818,0.9328165374677002
IRPP-TD,onoff,Traffic,20260819,0.9273447820343461
IRPP-TD,onoff,Traffic,20260820,0.9252577319587629
IRPP-TD,onoff,Traffic,20260821,0.9366754617414248
IRPP-TD,onoff,Traffic,20260822,0.9149484536082474
IRPP-TD,onoff,Traffic,20260823,0.9315245478036176
IRPP-TD,onoff,Traffic,20260824,0.9479166666666666
IRPP-TD,onoff,Traffic,20260825,0.9344692005242464
IRPP-TD,onoff,Traffic,20260826,0.9282920469361148
IRPP-TD,onoff,Traffic,20260827,0.9351491569390402
IRPP-TD,onoff,Traffic,20260828,0.9647058823529412
IRPP-TD,onoff,Traffic,20260829,0.9582806573957017
IRPP-TD,onoff,Traffic,20260830,0.9314359637774903
IRPP-TD,onoff,Traffic,20260831,0.9067017082785808
IRPP-TD,onoff,Traffic,20260832,0.9213630406290957
IRPP-TD,onoff,Traffic,20260833,0.9369250985545335
IRPP-TD,onoff,Traffic,20260834,0.9354838709677419
IRPP-TD,onoff,Traffic,20260835,0.9319899244332494
IRPP-TD,onoff,Traffic,20260836,0.9509677419354838
IRPP-TD,onoff,Traffic,20260837,0.9167750325097529
IRPP-TD,onoff,Water,20260808,0.9788293897882939
IRPP-TD,onoff,Water,20260809,0.975609756097561
IRPP-TD,onoff,Water,20260810,0.9501216545012166
IRPP-TD,onoff,Water,20260811,0.9413919413919414
IRPP-TD,onoff,Water,20260812,0.9732034104750305
IRPP-TD,onoff,Water,20260813,0.9744525547445255
IRPP-TD,onoff,Water,20260814,0.9706601466992665
IRPP-TD,onoff,Water,20260815,0.9680981595092024
IRPP-TD,onoff,Water,20260816,0.9789603960396039
IRPP-TD,onoff,Water,20260817,0.9619500594530321
IRPP-TD,onoff,Water,20260818,0.9814356435643564
IRPP-TD,onoff,Water,20260819,0.8940316686967114
IRPP-TD,onoff,Water,20260820,0.9791921664626683
IRPP-TD,onoff,Water,20260821,0.9752781211372065
IRPP-TD,onoff,Water,20260822,0.9717791411042945
IRPP-TD,onoff,Water,20260823,0.9826732673267327
IRPP-TD,onoff,Water,20260824,0.9593596059113301
IRPP-TD,onoff,Water,20260825,0.958904109589041
IRPP-TD,onoff,Water,20260826,0.9765721331689272
IRPP-TD,onoff,Water,20260827,0.9663461538461539
IRPP-TD,onoff,Water,20260828,0.9775840597758406
IRPP-TD,onoff,Water,20260829,0.9304878048780488
IRPP-TD,onoff,Water,20260830,0.9790382244143033
IRPP-TD,onoff,Water,20260831,0.9683313032886723
IRPP-TD,onoff,Water,20260832,0.9662243667068757
IRPP-TD,onoff,Water,20260833,0.9631449631449631
IRPP-TD,onoff,Water,20260834,0.9889025893958077
IRPP-TD,onoff,Water,20260835,0.9433051869722557
IRPP-TD,onoff,Water,20260836,0.9523809523809523
IRPP-TD,onoff,Water,20260837,0.9706242350061199
PRTD,compact,Climate,20260808,1.0
PRTD,compact,Climate,20260809,0.9986772486772487
PRTD,compact,Climate,20260810,0.9993265993265993
PRTD,compact,Climate,20260811,0.9986595174262735
PRTD,compact,Climate,20260812,0.9993252361673415
PRTD,compact,Climate,20260813,1.0
PRTD,compact,Climate,20260814,1.0
PRTD,compact,Climate,20260815,0.9986586183769283
PRTD,compact,Climate,20260816,0.9980119284294234
PRTD,compact,Climate,20260817,1.0
PRTD,compact,Climate,20260818,0.9993265993265993
PRTD,compact,Climate,20260819,1.0
PRTD,compact,Climate,20260820,1.0
PRTD,compact,Climate,20260821,0.998
PRTD,compact,Climate,20260822,1.0
PRTD,compact,Climate,20260823,1.0
PRTD,compact,Climate,20260824,1.0
PRTD,compact,Climate,20260825,1.0
PRTD,compact,Climate,20260826,1.0
PRTD,compact,Climate,20260827,1.0
PRTD,compact,Climate,20260828,0.9993265993265993
PRTD,compact,Climate,20260829,0.9972881355932204
