workload,scene,target_workers,seed,target_acceptance,qe_radius,qe_clean_acceptance,prtd_relative_weight,prtd_clean_acceptance
Water_n27,Water,27,20260810,0.96,0.0244610767783995,0.9600840336134454,0.0217798861297562,0.957983193277311
Water_n27,Water,27,20260816,0.96,0.0251738046023823,0.9600840336134454,0.0134186191465796,0.957983193277311
Water_n27,Water,27,20260822,0.96,0.0255165106712786,0.9600840336134454,0.0352678764104466,0.957983193277311
Water_n27,Water,27,20260828,0.96,0.0253432687344933,0.9600840336134454,0.003802214984631,0.957983193277311
Water_n27,Water,27,20260834,0.96,0.0251570147655294,0.9600840336134454,0.0124642472884058,0.957983193277311
Water_n39,Water,39,20260810,0.96,0.0240674918375863,0.9611111111111112,0.1147117852551138,0.9597222222222224
Water_n39,Water,39,20260816,0.96,0.0241907680081315,0.9611111111111112,0.0925190853558082,0.9597222222222224
Water_n39,Water,39,20260822,0.96,0.0248193520560177,0.9611111111111112,0.0703072970192672,0.9597222222222224
Water_n39,Water,39,20260828,0.96,0.0244159734262123,0.9611111111111112,0.0525953164157199,0.9597222222222224
Water_n39,Water,39,20260834,0.96,0.0243395545293023,0.9611111111111112,0.1309995547950764,0.9597222222222224
Climate_n27,Climate,27,20260811,0.96,0.0346376888038835,0.960144927536232,0.0586394138462039,0.9583333333333334
Climate_n27,Climate,27,20260817,0.96,0.0340563652582016,0.960144927536232,0.1194746788090451,0.9583333333333334
Climate_n27,Climate,27,20260823,0.96,0.0337539598936371,0.960144927536232,0.0443674578361352,0.9583333333333334
Climate_n27,Climate,27,20260829,0.96,0.0339142478778844,0.960144927536232,0.0896981138270269,0.9583333333333334
Climate_n27,Climate,27,20260835,0.96,0.0341528273368367,0.960144927536232,0.0831628957970404,0.9583333333333334
Climate_n39,Climate,39,20260811,0.96,0.034446449900875,0.9604449938195304,0.1458949714848806,0.9592088998763906
Climate_n39,Climate,39,20260817,0.96,0.0338159736927353,0.9604449938195304,0.157469853606141,0.9592088998763906
Climate_n39,Climate,39,20260823,0.96,0.0335730504291708,0.9604449938195304,0.2150372960519971,0.9592088998763906
Climate_n39,Climate,39,20260829,0.96,0.034335915055091,0.9604449938195304,0.1685024540644454,0.9592088998763906
Climate_n39,Climate,39,20260835,0.96,0.0350584404703814,0.9604449938195304,0.1952279932362938,0.9592088998763906
Traffic_n27,Traffic,27,20260811,0.96,0.0115282625170363,0.9606164383561644,0.0806409548026955,0.958904109589041
Traffic_n27,Traffic,27,20260817,0.96,0.0133330629497446,0.9606164383561644,0.1009600336858575,0.958904109589041
Traffic_n27,Traffic,27,20260823,0.96,0.0115609307330432,0.9606164383561644,0.0587268271907806,0.958904109589041
Traffic_n27,Traffic,27,20260829,0.96,0.0112071830335357,0.9623287671232876,0.1191253534754899,0.958904109589041
Traffic_n27,Traffic,27,20260835,0.96,0.0119828358134601,0.9606164383561644,0.0526553286200537,0.958904109589041
Traffic_n39,Traffic,39,20260811,0.96,0.010464972304947,0.9610027855153204,0.0986689682153372,0.9596100278551531
Traffic_n39,Traffic,39,20260817,0.96,0.0108814133218609,0.9610027855153204,0.1357431404950203,0.9596100278551531
Traffic_n39,Traffic,39,20260823,0.96,0.0111307203729503,0.9610027855153204,0.0990480188784146,0.9596100278551531
Traffic_n39,Traffic,39,20260829,0.96,0.0108498517609408,0.9610027855153204,0.0972913243717982,0.9596100278551531
Traffic_n39,Traffic,39,20260835,0.96,0.0104038484942328,0.9610027855153204,0.0870564749232856,0.9596100278551531
Water_n27,Water,27,20260811,0.96,0.0256844937031223,0.9600840336134454,0.0127103796299026,0.957983193277311
Water_n27,Water,27,20260817,0.96,0.02529291243005,0.9600840336134454,0.0020543774518878,0.957983193277311
Water_n27,Water,27,20260823,0.96,0.0249333017878802,0.9600840336134454,0.0219501973505847,0.957983193277311
Water_n27,Water,27,20260829,0.96,0.0246167114313962,0.9600840336134454,0.0040981569359484,0.957983193277311
Water_n27,Water,27,20260835,0.96,0.0248369682877181,0.9600840336134454,0.007305856107973,0.957983193277311
Water_n39,Water,39,20260811,0.96,0.0241781857380493,0.9611111111111112,0.1095763804505824,0.9597222222222224
Water_n39,Water,39,20260817,0.96,0.0245558042079533,0.9611111111111112,0.0742073470319805,0.9597222222222224
Water_n39,Water,39,20260823,0.96,0.0243283751204759,0.9611111111111112,0.1031888666814481,0.9597222222222224
