mode,scene,seed,tasks,no_truth_count,norm_sq_sum,sq_sum,norm_abs_sum,abs_sum,dimension,nrmse,rmse,nmae,mae,no_truth_rate,clean_nrmse,error_ratio,malicious_report_leakage,honest_false_low_rate
onoff,Traffic,20260819,40,0,1.480732238810358,77003429.83278964,7.275595253082192,36343.24777493079,240,0.07854755032278107,566.4341305953325,0.030314980221175798,151.4301990622116,0.0,0.00040824736361351954,192.40185564833342,0.3760932944606414,0.06869220607661823
onoff,Traffic,20260820,40,0,0.15014431193758812,7870698.766809704,4.244486203811125,21207.20101375348,240,0.025012023103698558,181.09273368923567,0.017685359182546354,88.36333755730617,0.0,0.0003953558093057063,63.264589807400995,0.37037037037037035,0.06701030927835051
onoff,Traffic,20260821,40,0,0.26271050117706546,13743148.563611548,4.398555158878322,22045.333146673882,240,0.03308514905872078,239.29713540919815,0.018327313161993007,91.85555477780784,0.0,0.00040026004006935364,82.65913592820324,0.3508771929824561,0.059366754617414245
onoff,Traffic,20260822,40,0,1.0524024021019585,54947844.85077964,6.2983710282842225,31576.799472834457,240,0.06621940809731057,478.48652389060567,0.02624321261785093,131.5699978034769,0.0,0.00038620555885577284,171.4615612822911,0.32098765432098764,0.07603092783505154
onoff,Traffic,20260823,40,0,1.1383142728880682,59185459.050255194,4.7660094384763445,23872.55249346397,240,0.06886926845141901,496.59448182200265,0.0198583726603181,99.46896872276653,0.0,0.0004020565475439195,171.2924932378969,0.24846625766871167,0.06459948320413436
onoff,Traffic,20260824,40,0,0.1095382612275403,5747234.707820583,2.9956993137587973,14976.025316312769,240,0.02136374081900026,154.74757278414987,0.012482080473994989,62.40010548463654,0.0,0.0003341994974540858,63.92511353771658,0.2620481927710843,0.041666666666666664
onoff,Traffic,20260825,40,0,1.4698320848581097,75841376.60083914,6.599127464079543,32954.31167861892,240,0.07825790920779482,562.1438746769636,0.027496364433664763,137.3096319942455,0.0,0.00033565322360413065,233.15107290639995,0.258160237388724,0.0655307994757536
onoff,Traffic,20260826,40,0,1.6929361166741201,85852321.87063864,6.4054080632720085,31841.80944871319,240,0.08398750196393609,598.0953166463751,0.02668920026363337,132.67420603630495,0.0,0.0003310868524701708,253.6721145443337,0.2822822822822823,0.06779661016949153
onoff,Traffic,20260827,40,0,0.6528540893312406,33963608.76209077,5.807706206697311,29034.84409428157,240,0.052155779854331605,376.1848435393318,0.024198775861238798,120.97851705950653,0.0,0.0003729039146984365,139.86385714537064,0.3009118541033435,0.0648508430609598
onoff,Traffic,20260828,40,0,0.14896906814718108,7810199.931637748,2.7306549288805906,13668.991573026047,240,0.024913940888852862,180.39539826491495,0.011377728870335795,56.9541315542752,0.0,0.00037243963097510183,66.89390391571513,0.19701492537313434,0.032679738562091505
