malicious_ratio,strength,scene,seed,tasks,no_truth_count,norm_sq_sum,sq_sum,norm_abs_sum,abs_sum,dimension,nrmse,rmse,nmae,mae,no_truth_rate,clean_nrmse,error_ratio
0.1,0.1,Water,20260836,60,0,0.0007270952266843616,16136.985473091416,0.4674353462757076,812.0504180883247,540,0.0011603760778334225,5.466562579139726,0.0008656210116216807,1.5037970705339347,0.0,0.001108661492135297,1.0466459654862932
0.1,0.1,Water,20260837,60,0,0.000835984184040451,20225.50064846684,0.4943586823789287,830.9247941820965,540,0.0012442342461667611,6.120018858671447,0.0009154790414424605,1.5387496188557344,0.0,0.0011893172176197808,1.0461752573101462
0.1,0.25,Climate,20260808,60,0,0.0011607078232101652,71.8339389986599,0.4411719267042058,93.80817639122817,300,0.001966984005366393,0.489332671430047,0.0014705730890140192,0.3126939213040939,0.0,0.0019112351110496621,1.0291690404777636
0.1,0.25,Climate,20260809,60,0,0.0013914212309844751,87.10608880617957,0.4602394129879745,99.08590065123813,300,0.0021536180650125153,0.538844717292405,0.0015341313766265817,0.3302863355041271,0.0,0.0020096781502706436,1.071623366518906
0.1,0.25,Climate,20260810,60,0,0.001550562388843186,92.84315606095875,0.4877278487365753,103.87955969211409,300,0.0022734426089400087,0.556306738112943,0.0016257594957885845,0.3462651989737136,0.0,0.0021192120578191745,1.0727773091662893
0.1,0.25,Climate,20260811,60,0,0.0014182049331398342,99.19775073322192,0.4731674741362835,105.68691043685384,300,0.002174246944836943,0.5750297115025794,0.0015772249137876117,0.35228970145617944,0.0,0.00204771476015492,1.0617918995087237
0.1,0.25,Climate,20260812,60,0,0.0013259414515245896,92.27382452300458,0.4529712443231439,100.66477951343576,300,0.0021023331892008217,0.5545984268609874,0.001509904147743813,0.3355492650447859,0.0,0.001965768494444359,1.0694714027325298
0.1,0.25,Climate,20260813,60,0,0.0015172104230428802,97.63156958067661,0.4786211579284571,103.73124953785316,300,0.0022488592834611952,0.5704722300593799,0.0015954038597615237,0.34577083179284385,0.0,0.0020706926571289726,1.0860420428492037
0.1,0.25,Climate,20260814,60,0,0.001476645117253193,84.31102639142627,0.4863888916213361,100.7242237244207,300,0.0022185919838591268,0.5301289981109197,0.0016212963054044536,0.33574741241473566,0.0,0.0020076886952855116,1.1050478040090885
0.1,0.25,Climate,20260815,60,0,0.0009762749955769658,62.512638287393806,0.395474549352188,84.98154711730149,300,0.001803953986457679,0.45648161075554766,0.0013182484978406267,0.2832718237243383,0.0,0.0017075389275458645,1.0564643402012426
