method,mode,scene,seed,tasks,no_truth_count,norm_sq_sum,sq_sum,norm_abs_sum,abs_sum,dimension,nrmse,rmse,nmae,mae,no_truth_rate
PRTD,clean,Climate,20260809,80,0,0.0020274285619545644,128.9819374386737,0.6291823835945686,133.85368105436413,400,0.0022513487968074627,0.567851075191977,0.0015729559589864215,0.3346342026359103,0.0
PRTD,clean,Climate,20260810,80,0,0.0020337199041340266,132.4869537993881,0.6506044439672486,142.4975891909802,400,0.0022548391872448613,0.5755148864264679,0.0016265111099181215,0.3562439729774505,0.0
PRTD,clean,Climate,20260811,80,0,0.0020350049034792757,145.9202361118494,0.6202111168000711,139.58644408651008,400,0.0022555514311800094,0.6039872434742505,0.0015505277920001778,0.3489661102162752,0.0
PRTD,clean,Climate,20260812,80,0,0.002047897608644961,138.00211303784667,0.6405075798334184,141.3500009954862,400,0.0022626851353231637,0.5873715030494897,0.001601268949583546,0.3533750024887155,0.0
PRTD,clean,Climate,20260813,80,0,0.0018955948424195072,123.50143198838263,0.6097766607719818,132.8579540481306,400,0.002176921474479217,0.5556559906731472,0.0015244416519299545,0.3321448851203265,0.0
PRTD,clean,Climate,20260814,80,0,0.0020314356388144343,135.93331368779974,0.6538429409514476,143.4376440484005,400,0.0022535725186991623,0.5829522143533716,0.0016346073523786188,0.35859411012100123,0.0
PRTD,clean,Climate,20260815,80,0,0.00159844462489912,104.98051459458637,0.5446207558259331,118.53655236101268,400,0.00199902765419786,0.5122999965708237,0.0013615518895648327,0.2963413809025317,0.0
PRTD,clean,Climate,20260816,80,0,0.0018368920973680552,123.80230553690598,0.608775321044564,134.02548750049317,400,0.002142948959592864,0.5563324220663981,0.00152193830261141,0.3350637187512329,0.0
PRTD,clean,Climate,20260817,80,0,0.001766575447919937,118.5708834452189,0.5909247318000563,130.30782876217992,400,0.002101532445573906,0.5444512913136006,0.001477311829500141,0.3257695719054498,0.0
PRTD,clean,Climate,20260818,80,0,0.001911326075431033,138.8536820916701,0.634977490878393,143.0836036167706,400,0.0021859357695452955,0.5891809613600691,0.0015874437271959823,0.3577090090419265,0.0
PRTD,clean,Climate,20260819,80,0,0.001775228457277757,116.544135865583,0.5923733356321617,129.93545884306408,400,0.0021066730033857633,0.5397780466672922,0.0014809333390804042,0.3248386471076602,0.0
PRTD,clean,Climate,20260820,80,0,0.0017987696828116431,118.71329949376405,0.6017669711769179,131.47912991613026,400,0.0021205952482803284,0.5447781647004679,0.0015044174279422947,0.32869782479032567,0.0
PRTD,clean,Climate,20260821,80,0,0.001927991182017565,131.9514972377313,0.6194169594789427,135.58739910562377,400,0.0021954448194031004,0.5743507143673874,0.0015485423986973568,0.33896849776405946,0.0
PRTD,clean,Climate,20260822,80,0,0.0019426433873348066,127.72399320406004,0.6173035708849584,133.25890993597935,400,0.0022037714192576817,0.5650752011990529,0.0015432589272123959,0.3331472748399484,0.0
PRTD,clean,Climate,20260823,80,0,0.0017064795194159169,121.90466259260066,0.6030494082352548,135.19190570420784,400,0.0020654778620309133,0.5520522226035338,0.0015076235205881369,0.3379797642605196,0.0
PRTD,clean,Climate,20260824,80,0,0.001761276864805836,122.58254769004805,0.5989074691488716,131.412039396873,400,0.002098378460148357,0.5535850153545705,0.001497268672872179,0.3285300984921825,0.0
PRTD,clean,Climate,20260825,80,0,0.0018045695535757128,107.20932125640321,0.6045923708198809,128.05762985077376,400,0.0021240112720838566,0.5177096707045447,0.0015114809270497024,0.3201440746269344,0.0
PRTD,clean,Climate,20260826,80,0,0.001957641024870249,121.27645091922109,0.6192301152979163,131.44308143179285,400,0.002212261865642407,0.5506279390823288,0.0015480752882447908,0.3286077035794821,0.0
PRTD,clean,Climate,20260827,80,0,0.002139188795935265,125.98342428508498,0.6645894650245623,140.6571943917329,400,0.0023125682670654636,0.56121168975059,0.0016614736625614058,0.35164298597933225,0.0
PRTD,clean,Climate,20260828,80,0,0.0019657645100964955,122.68027519992238,0.6277985059425572,133.99037614848487,400,0.0022168471474689542,0.5538056409967362,0.001569496264856393,0.3349759403712122,0.0
