protocol,n,dimension,payload_bytes,seed,audit_mode,offchain_active_ms,declared_wait_ms,offchain_final_ms,worker_ms,tp_sp_cloudA_ms,dr_cloudB_ms,rb_rc_ta_ms,auditor_ms,analytics_ms,crypto_and_protocol_ms,traffic_task_bytes,traffic_report_bytes,iterations,retained_count,valid,run
IRPP-TD,10,9,256,2026181012,normal,12.485032,0.0,12.485032,7.906191,0.564931,3.915363,0.0,0.0,2.090936,10.394096000000001,86220,1568.0,6,10,True,12
BSIF,10,9,256,2026181012,normal,2475.864713,0.0,2475.864713,1821.147742,514.168703,140.474718,0.0,0.0,0.081438,2475.783275,132272,7324.0,1,7,True,12
RPPS-TDC,10,9,256,2026181012,normal,2778.250565,0.0,2778.250565,1808.974397,192.057516,724.101714,52.79276,0.0,475.157481,2303.0930839999996,158184,6912.0,8,8,True,12
PRTD,10,9,256,2026181012,normal,6139.863942,0.0,6139.863942,3527.404697,1725.69528,845.396201,40.370738,0.0,380.373076,5759.490866,206540,7808.0,8,10,True,12
BSIF,10,9,256,2026181013,normal,2463.201835,0.0,2463.201835,1803.874963,517.704245,141.546011,0.0,0.0,0.091068,2463.1107669999997,132272,7324.0,1,7,True,13
RPPS-TDC,10,9,256,2026181013,normal,2770.298349,0.0,2770.298349,1805.741842,191.503777,720.003531,52.727058,0.0,472.207988,2298.090361,158184,6912.0,8,8,True,13
PRTD,10,9,256,2026181013,normal,6011.52552,0.0,6011.52552,3468.183658,1675.843317,826.862853,39.478964,0.0,373.024968,5638.500552,206540,7808.0,8,10,True,13
IRPP-TD,10,9,256,2026181013,normal,11.335372,0.0,11.335372,6.949039,0.572691,3.706981,0.0,0.0,1.802039,9.533332999999999,86220,1568.0,6,10,True,13
RPPS-TDC,10,9,256,2026181014,normal,2705.560201,0.0,2705.560201,1765.932159,186.253396,701.939131,51.149428,0.0,460.879932,2244.680269,158184,6912.0,8,8,True,14
PRTD,10,9,256,2026181014,normal,6151.058655,0.0,6151.058655,3527.783635,1732.39797,849.766795,40.093827,0.0,380.08226,5770.976395,206540,7808.0,8,10,True,14
IRPP-TD,10,9,256,2026181014,normal,12.428746,0.0,12.428746,7.789355,0.558262,3.970569,0.0,0.0,2.060142,10.368604000000001,86220,1568.0,6,10,True,14
BSIF,10,9,256,2026181014,normal,2472.658866,0.0,2472.658866,1815.728975,516.16948,140.681123,0.0,0.0,0.081786,2472.57708,132272,7324.0,1,7,True,14
PRTD,10,9,256,2026181015,normal,6099.036486,0.0,6099.036486,3511.61486,1709.740654,836.789208,40.015342,0.0,377.048212,5721.988274,206540,7808.0,8,10,True,15
IRPP-TD,10,9,256,2026181015,normal,11.976698,0.0,11.976698,7.548489,0.563173,3.764252,0.0,0.0,1.858816,10.117882000000002,86220,1568.0,6,10,True,15
BSIF,10,9,256,2026181015,normal,2443.971591,0.0,2443.971591,1794.576931,509.697897,139.612147,0.0,0.0,0.079004,2443.892587,132272,7324.0,1,7,True,15
RPPS-TDC,10,9,256,2026181015,normal,2752.559357,0.0,2752.559357,1791.260125,190.481956,718.113094,52.393586,0.0,471.346739,2281.212618,158184,6912.0,8,8,True,15
IRPP-TD,10,9,256,2026181016,normal,11.959218,0.0,11.959218,7.640204,0.552105,3.64366,0.0,0.0,1.79431,10.164908,86220,1568.0,7,10,True,16
BSIF,10,9,256,2026181016,normal,2443.648168,0.0,2443.648168,1792.988596,510.907132,139.671903,0.0,0.0,0.105795,2443.542373,132272,7324.0,1,7,True,16
RPPS-TDC,10,9,256,2026181016,normal,2753.565473,0.0,2753.565473,1792.842883,190.487413,717.403595,52.494788,0.0,471.078586,2282.486887,158184,6912.0,8,8,True,16
PRTD,10,9,256,2026181016,normal,6085.269918,0.0,6085.269918,3493.706292,1714.234021,836.358041,40.015063,0.0,375.851221,5709.418697,206540,7808.0,8,10,True,16
BSIF,10,9,256,2026181017,normal,2524.741813,0.0,2524.741813,1798.857661,526.199403,199.609881,0.0,0.0,0.07828,2524.663533,155504,7324.0,1,10,True,17
RPPS-TDC,10,9,256,2026181017,normal,2768.544801,0.0,2768.544801,1791.054254,191.296588,733.696331,52.196387,0.0,487.070126,2281.474675,158184,6912.0,8,8,True,17
PRTD,10,9,256,2026181017,normal,6089.440262,0.0,6089.440262,3499.223369,1713.404266,835.813818,40.059525,0.0,375.803101,5713.637161,206540,7808.0,8,10,True,17
IRPP-TD,10,9,256,2026181017,normal,11.989165,0.0,11.989165,7.548263,0.56827,3.76355,0.0,0.0,1.882107,10.107058,86220,1568.0,6,10,True,17
RPPS-TDC,10,9,256,2026181018,normal,2769.755488,0.0,2769.755488,1792.896614,190.822651,733.318395,52.424489,0.0,486.7395,2283.0159879999997,158184,6912.0,8,8,True,18
PRTD,10,9,256,2026181018,normal,6127.195795,0.0,6127.195795,3517.876904,1727.608431,840.829941,39.897314,0.0,378.437492,5748.758303,206540,7808.0,8,10,True,18
IRPP-TD,10,9,256,2026181018,normal,12.08167,0.0,12.08167,7.442392,0.613167,3.925224,0.0,0.0,1.988006,10.093664,86220,1568.0,6,10,True,18
BSIF,10,9,256,2026181018,normal,2519.754019,0.0,2519.754019,1794.143217,526.300053,199.226505,0.0,0.0,0.08232,2519.671699,155504,7324.0,1,10,True,18
PRTD,10,9,256,2026181019,normal,6088.976304,0.0,6088.976304,3496.489276,1715.851066,835.517559,40.214453,0.0,375.12645,5713.849854,206540,7808.0,8,10,True,19
IRPP-TD,10,9,256,2026181019,normal,11.4513,0.0,11.4513,7.002118,0.54296,3.802954,0.0,0.0,1.993141,9.458159,86220,1568.0,6,10,True,19
BSIF,10,9,256,2026181019,normal,2458.295437,0.0,2458.295437,1805.582333,511.981161,140.615816,0.0,0.0,0.084575,2458.2108620000004,132272,7324.0,1,7,True,19
