run,seed,n,fault,policy,audit_triggered,detected,corrected,bad_finalized,honest_votes,audit_reexecution_ms,correct_digest,submitted_digest
2,2035581002,27,label,delayed_challenge,True,True,True,False,5,7.93088,5782bb20040146b78540d6a0b97251e21879401deeaddd07c08ec75b854bc889,ecd0a756979765b9a2f12638742d7bb03d6b33b09b33c993420341504a4834eb
2,2035581002,27,weight,no_trigger,False,False,False,True,0,0.000128,5782bb20040146b78540d6a0b97251e21879401deeaddd07c08ec75b854bc889,2b53c751b9f9dc13d5ed22131b0aa387b16b102556e3c6cb51465cf5850d42a9
2,2035581002,27,weight,proactive,True,True,True,False,5,8.277106,5782bb20040146b78540d6a0b97251e21879401deeaddd07c08ec75b854bc889,2b53c751b9f9dc13d5ed22131b0aa387b16b102556e3c6cb51465cf5850d42a9
2,2035581002,27,weight,timely_challenge,True,True,True,False,5,7.711849,5782bb20040146b78540d6a0b97251e21879401deeaddd07c08ec75b854bc889,2b53c751b9f9dc13d5ed22131b0aa387b16b102556e3c6cb51465cf5850d42a9
2,2035581002,27,weight,delayed_challenge,True,True,True,False,5,8.327832,5782bb20040146b78540d6a0b97251e21879401deeaddd07c08ec75b854bc889,2b53c751b9f9dc13d5ed22131b0aa387b16b102556e3c6cb51465cf5850d42a9
2,2035581002,27,reputation_state,no_trigger,False,False,False,True,0,0.000128,5782bb20040146b78540d6a0b97251e21879401deeaddd07c08ec75b854bc889,a5689667a838621a1dc0f476251ec70f2efa52db1d5d64625cea1e8cc46da982
2,2035581002,27,reputation_state,proactive,True,True,True,False,5,8.237525,5782bb20040146b78540d6a0b97251e21879401deeaddd07c08ec75b854bc889,a5689667a838621a1dc0f476251ec70f2efa52db1d5d64625cea1e8cc46da982
2,2035581002,27,reputation_state,timely_challenge,True,True,True,False,5,8.039968,5782bb20040146b78540d6a0b97251e21879401deeaddd07c08ec75b854bc889,a5689667a838621a1dc0f476251ec70f2efa52db1d5d64625cea1e8cc46da982
2,2035581002,27,reputation_state,delayed_challenge,True,True,True,False,5,8.594008,5782bb20040146b78540d6a0b97251e21879401deeaddd07c08ec75b854bc889,a5689667a838621a1dc0f476251ec70f2efa52db1d5d64625cea1e8cc46da982
2,2035581002,27,aggregate,no_trigger,False,False,False,True,0,0.000117,5782bb20040146b78540d6a0b97251e21879401deeaddd07c08ec75b854bc889,21bcda1c7239ce88e8d7f8dc88bc4ecb172f8d88c9d50a05c6dc228eb6ef2cb1
2,2035581002,27,aggregate,proactive,True,True,True,False,5,8.8276,5782bb20040146b78540d6a0b97251e21879401deeaddd07c08ec75b854bc889,21bcda1c7239ce88e8d7f8dc88bc4ecb172f8d88c9d50a05c6dc228eb6ef2cb1
2,2035581002,27,aggregate,timely_challenge,True,True,True,False,5,8.295066,5782bb20040146b78540d6a0b97251e21879401deeaddd07c08ec75b854bc889,21bcda1c7239ce88e8d7f8dc88bc4ecb172f8d88c9d50a05c6dc228eb6ef2cb1
