scenario,trial,nrmse,angular_available,retained_rate
context-partitioned,63,0.0077203755029796725,1.0,1.0
single-regime,64,0.005409329079518819,1.0,1.0
unpartitioned-two-regime,64,0.16490296260213413,1.0,1.0
context-partitioned,64,0.008466626767642265,1.0,1.0
single-regime,65,0.008417297073331987,1.0,1.0
unpartitioned-two-regime,65,0.14411831386401583,1.0,0.975
context-partitioned,65,0.008437596551390448,1.0,1.0
single-regime,66,0.004412875008265332,1.0,1.0
unpartitioned-two-regime,66,0.1504155111594108,1.0,0.975
context-partitioned,66,0.01074507713925196,1.0,1.0
single-regime,67,0.007131101970255031,1.0,1.0
unpartitioned-two-regime,67,0.163732646329058,1.0,1.0
context-partitioned,67,0.007866204957899322,1.0,1.0
single-regime,68,0.008799651259814757,1.0,1.0
unpartitioned-two-regime,68,0.1650959928684351,1.0,1.0
context-partitioned,68,0.009201907742029948,1.0,1.0
single-regime,69,0.0075221915858916105,1.0,1.0
unpartitioned-two-regime,69,0.16442392956528798,1.0,1.0
context-partitioned,69,0.00883757075280064,1.0,1.0
single-regime,70,0.008464185948373218,1.0,1.0
unpartitioned-two-regime,70,0.16450415364416,1.0,1.0
context-partitioned,70,0.007052338172388825,1.0,1.0
single-regime,71,0.005277453229330188,1.0,1.0
unpartitioned-two-regime,71,0.15108006619967776,1.0,0.975
context-partitioned,71,0.0065646534284835596,1.0,1.0
single-regime,72,0.006722474974235789,1.0,1.0
unpartitioned-two-regime,72,0.16449016325679974,1.0,1.0
context-partitioned,72,0.007694625046367481,1.0,1.0
single-regime,73,0.008326758901241847,1.0,1.0
unpartitioned-two-regime,73,0.147424772685472,1.0,0.975
context-partitioned,73,0.008132298541499949,1.0,1.0
single-regime,74,0.005956315450522817,1.0,1.0
unpartitioned-two-regime,74,0.16625269669938905,1.0,1.0
context-partitioned,74,0.007417625207895423,1.0,1.0
single-regime,75,0.005603361368770471,1.0,1.0
unpartitioned-two-regime,75,0.16624674627568406,1.0,1.0
context-partitioned,75,0.006785940806680629,1.0,1.0
single-regime,76,0.0044901791548292375,1.0,1.0
unpartitioned-two-regime,76,0.16464507793904495,1.0,1.0
context-partitioned,76,0.0075903479822913705,1.0,1.0
single-regime,77,0.0070187240455122125,1.0,1.0
unpartitioned-two-regime,77,0.15347114376121904,1.0,0.975
context-partitioned,77,0.011128896405754533,1.0,1.0
single-regime,78,0.005899994145991211,1.0,1.0
unpartitioned-two-regime,78,0.1658385258589273,1.0,1.0
context-partitioned,78,0.006704227238191597,1.0,1.0
single-regime,79,0.009170642136369181,1.0,1.0
unpartitioned-two-regime,79,0.1633724829961107,1.0,1.0
context-partitioned,79,0.007860430996391748,1.0,1.0
single-regime,80,0.005035670143317923,1.0,1.0
unpartitioned-two-regime,80,0.1657525586372469,1.0,1.0
context-partitioned,80,0.008462248541450154,1.0,1.0
single-regime,81,0.0034399951267733192,1.0,1.0
unpartitioned-two-regime,81,0.1660596041367875,1.0,1.0
context-partitioned,81,0.009325963807176887,1.0,1.0
single-regime,82,0.00529342837942719,1.0,1.0
unpartitioned-two-regime,82,0.12968033929304681,1.0,0.95
context-partitioned,82,0.008448203689899713,1.0,1.0
single-regime,83,0.006807849190402147,1.0,1.0
unpartitioned-two-regime,83,0.1645923367928975,1.0,1.0
context-partitioned,83,0.00908593549502391,1.0,1.0
single-regime,84,0.007915953841827467,1.0,1.0
unpartitioned-two-regime,84,0.16672258194253867,1.0,1.0
context-partitioned,84,0.010189404274066734,1.0,1.0
single-regime,85,0.007612646036260168,1.0,1.0
unpartitioned-two-regime,85,0.14844508337146803,1.0,0.975
context-partitioned,85,0.005675338273498903,1.0,1.0
single-regime,86,0.0057137296739838035,1.0,1.0
unpartitioned-two-regime,86,0.16345810434968752,1.0,1.0
context-partitioned,86,0.007722458940095313,1.0,1.0
single-regime,87,0.00669395153294661,1.0,1.0
unpartitioned-two-regime,87,0.16622902813139706,1.0,1.0
context-partitioned,87,0.008679656421127181,1.0,1.0
single-regime,88,0.007465718522711982,1.0,1.0
unpartitioned-two-regime,88,0.1649423500100508,1.0,1.0
context-partitioned,88,0.006679041932194086,1.0,1.0
single-regime,89,0.005497876295586942,1.0,1.0
unpartitioned-two-regime,89,0.16660147239328513,1.0,1.0
context-partitioned,89,0.008660897703740237,1.0,1.0
single-regime,90,0.007124998704609378,1.0,1.0
unpartitioned-two-regime,90,0.16469962362032017,1.0,1.0
context-partitioned,90,0.008304720896351337,1.0,1.0
single-regime,91,0.0076391986677424245,1.0,1.0
unpartitioned-two-regime,91,0.1645378835812162,1.0,1.0
context-partitioned,91,0.007509036320470633,1.0,1.0
single-regime,92,0.005988036426115867,1.0,1.0
unpartitioned-two-regime,92,0.14750731112157103,1.0,0.975
context-partitioned,92,0.009976484190171742,1.0,1.0
single-regime,93,0.008307060503576054,1.0,1.0
unpartitioned-two-regime,93,0.14935346462644947,1.0,0.975
context-partitioned,93,0.008359232463664943,1.0,1.0
single-regime,94,0.0060841184239589854,1.0,1.0
unpartitioned-two-regime,94,0.1639380086626104,1.0,1.0
