protocol,n,run,audit_mode,phase,tx_index,latency_ms,ledger_bytes,gas_used,block_number,status,tx_hash
BSIF,0,0,setup,register_worker,27,502.060633,88,7485,3103,0,0x6b264aeaf436cd62a6781c0fc639e905c8610d1f4edffbef62e33a33130d16ac
RPPS-TDC,0,0,setup,register_worker,27,484.192878,88,7485,3104,0,0xef7aa0a840efd0188161e9888724561566933272c42281601d8050c6b1cee081
BSIF,0,0,setup,register_worker,28,502.433569,88,7485,3105,0,0x32791ab27c681eeb5129a36e07ff38df43b6a269fe4d1252d763670723dd9caa
RPPS-TDC,0,0,setup,register_worker,28,500.961363,88,7485,3106,0,0xba07f00fb2113378a36cbe057e2851b787f710f5028731575b7300a89611e0ff
BSIF,0,0,setup,register_worker,29,500.302258,88,7485,3107,0,0xaaab8831a1a115ad00081da929ca249403257c4712160fb2e8e3a93f694f5cf7
RPPS-TDC,0,0,setup,register_worker,29,500.692016,88,7485,3108,0,0x6902b7a5628c414b124ac53c3bf50309fd33924ba88e0848a38e07331c014976
BSIF,0,0,setup,register_worker,30,501.472218,88,7485,3109,0,0x6023978a1903d0be17fd831973a888e018a8c2851f1ef089de8e999ba9631f09
RPPS-TDC,0,0,setup,register_worker,30,500.022411,88,7485,3110,0,0xbaf2c3ccfc26fc9ce884b548892bb5e433ffc23be29bcfce824d5042ad89712f
BSIF,0,0,setup,register_worker,31,505.772825,88,7485,3111,0,0xdc8d2cff2e1b65d43bf2956876e218e0849676ec54286503d920dd50516ce5bb
RPPS-TDC,0,0,setup,register_worker,31,498.349364,88,7485,3112,0,0xe4426471801e1579d651cd543fa3785ace4380053d1aee5e838e7b3f00a86e4e
BSIF,0,0,setup,register_worker,32,502.875011,88,7485,3113,0,0xf8bf3e5322f7383b5e88721cbea4025411a4e4339d525f9032522840be4a1075
RPPS-TDC,0,0,setup,register_worker,32,628.139982,88,7485,3114,0,0x7976565ebfd77b0025b72caf239ab79440bbb6db60377d672c4ca927e5a4674b
BSIF,0,0,setup,register_worker,33,501.573258,88,7485,3115,0,0x51e7fcd4f3733ba19414bdbfcfda54797b40766a60f5e11e73f78a061f9f37c7
RPPS-TDC,0,0,setup,register_worker,33,501.404922,88,7485,3116,0,0x337b9b3ca76369bb12c374035b28cb6c06f4e9ac90e5e6cb7b40c6a39e0b5733
BSIF,0,0,setup,register_worker,34,502.201750,88,7485,3117,0,0xfcbe8b55b3a071092b777e5e9970369ee35416f84f86caab96a7cd0f451a4acb
RPPS-TDC,0,0,setup,register_worker,34,516.473123,88,7485,3118,0,0x042e82680f292ab9e2197f7144991559d30b9b6c589be7dc0d6d7e08027fbe51
BSIF,0,0,setup,register_worker,35,503.478742,88,7485,3119,0,0x2242cd66012e648df839780634b2d93eb1fa98e82c1ba9f864c210bf966a5737
RPPS-TDC,0,0,setup,register_worker,35,501.926027,88,7485,3120,0,0x2c70f48dbeb91bed127647e2f19b2cd7abd51e7ab2d8df635a3a81707be9d0d1
BSIF,0,0,setup,register_worker,36,498.697369,88,7485,3121,0,0xc6fead552427c5d832b6e26038eb4b9253e52ed2410506b4e734ce0ba30f09b6
RPPS-TDC,0,0,setup,register_worker,36,501.345178,88,7485,3122,0,0x6145e964c8a40ffbd342202734ca2679068f202082f5fe6fc34446accf7fe9f9
BSIF,0,0,setup,register_worker,37,502.372834,88,7485,3123,0,0x681d9efb7c796c1f73efbc9751a3b486c1c9f469a8e7a698fd7e4b05eef64287
RPPS-TDC,0,0,setup,register_worker,37,500.139946,88,7485,3124,0,0xc741cd95f4231b5f3192a83790a294a40fbd00e1d2b7bb43823e1687ab4ac1ce
BSIF,0,0,setup,register_worker,38,503.379681,88,7485,3125,0,0xca39ce080899e3a2ae0ca688eddcc2f43d22f8168700a921c6f8f3f3b6b44c98
RPPS-TDC,0,0,setup,register_worker,38,501.018800,88,7485,3126,0,0x41af80af2e0273373cb65cbf8570daca1f247ca630bcc542e19668cd3200e8d4
BSIF,0,0,setup,register_worker,39,499.853514,88,7485,3127,0,0xf72d3c38a08f704c44f0082073eced7e787cdf5651419aa37c4beb3a1db747ff
RPPS-TDC,0,0,setup,register_worker,39,500.614114,88,7485,3128,0,0x6349c9a656c2218c2840fc45d1c731c8c9aa4106494ef0aecef2c62647d421b6
BSIF,0,0,setup,register_worker,40,502.763719,88,7485,3129,0,0xf10601964a6af4d18abb61478b37f3dd8561fd5cf47d3ad5c52326228f908948
RPPS-TDC,0,0,setup,register_worker,40,501.330454,88,7485,3130,0,0xe4e57e4c2a8ca1741f740bd906f1d92000bf48cd246bd0a10774601b19d3af3d
BSIF,0,0,setup,register_worker,41,498.458549,88,7485,3131,0,0x7e82f1867709fae5ee4e98ae042012bf80dfd33d473e52a217ffddc18518db67
RPPS-TDC,0,0,setup,register_worker,41,504.262304,88,7485,3132,0,0xc0d0ce2ef07cc7d591765da2bd6d8a242be594cb5ad61b65fe87e2513c69d425
BSIF,0,0,setup,register_worker,42,547.235759,88,7485,3133,0,0x8fef38e0b4470e60fa16e4273b0c18a296f819bad72ac9f66bfbb0499a4b46fa
RPPS-TDC,0,0,setup,register_worker,42,456.439668,88,7485,3134,0,0xd51a3d091d6e41b0d7e915521f384f9001e50750ea696ea04defbde6b25bf697
BSIF,0,0,setup,register_worker,43,499.292529,88,7485,3135,0,0xf3ef5041053a1c4230b20b4f99595438d99442c462b193a14f2a81a592113e23
RPPS-TDC,0,0,setup,register_worker,43,505.356167,88,7485,3136,0,0x3adb03adb56127368c549d049364335372ea5fbc78841341fa429cd274437a10
