p_A,c_T,rho_A,m_A,t_A,replacement_committees,audit_trigger_probability,single_committee_failure,bad_finalization_exact,bad_finalization_empirical,expected_active_ms,added_active_ms,trials
0.9,0.0,0.2,5,3,1,0.9,0.05792000000000003,0.10301925375999998,0.10317,18100.231173900003,2356.301840400003,100000
1.0,0.0,0.2,5,3,1,1.0,0.05792000000000003,0.0033547264000000077,0.00331,18362.042489500003,2618.113156000003,100000
0.0,0.5,0.2,5,3,1,0.5,0.05792000000000003,0.5016773632,0.5013,17052.9859115,1309.0565779999997,100000
0.1,0.5,0.2,5,3,1,0.55,0.05792000000000003,0.45184509951999996,0.45526,17183.8915693,1439.9622358000015,100000
0.2,0.5,0.2,5,3,1,0.6,0.05792000000000003,0.40201283584,0.40254,17314.797227100004,1570.8678936000033,100000
0.30000000000000004,0.5,0.2,5,3,1,0.65,0.05792000000000003,0.35218057216,0.35326,17445.7028849,1701.7735514000015,100000
0.4,0.5,0.2,5,3,1,0.7,0.05792000000000003,0.30234830848000005,0.29952,17576.608542700003,1832.6792092000032,100000
0.5,0.5,0.2,5,3,1,0.75,0.05792000000000003,0.2525160448,0.25334,17707.5142005,1963.5848670000014,100000
0.6000000000000001,0.5,0.2,5,3,1,0.8,0.05792000000000003,0.20268378111999996,0.20368,17838.419858300003,2094.490524800003,100000
0.7000000000000001,0.5,0.2,5,3,1,0.8500000000000001,0.05792000000000003,0.15285151743999992,0.15199,17969.3255161,2225.3961826000013,100000
0.8,0.5,0.2,5,3,1,0.9,0.05792000000000003,0.10301925375999998,0.10512,18100.231173900003,2356.301840400003,100000
0.9,0.5,0.2,5,3,1,0.95,0.05792000000000003,0.05318699008000005,0.05269,18231.1368317,2487.2074982000013,100000
1.0,0.5,0.2,5,3,1,1.0,0.05792000000000003,0.0033547264000000077,0.00355,18362.042489500003,2618.113156000003,100000
0.0,1.0,0.2,5,3,1,1.0,0.05792000000000003,0.0033547264000000077,0.00333,18362.042489500003,2618.113156000003,100000
0.1,1.0,0.2,5,3,1,1.0,0.05792000000000003,0.0033547264000000077,0.00355,18362.042489500003,2618.113156000003,100000
0.2,1.0,0.2,5,3,1,1.0,0.05792000000000003,0.0033547264000000077,0.00348,18362.042489500003,2618.113156000003,100000
0.30000000000000004,1.0,0.2,5,3,1,1.0,0.05792000000000003,0.0033547264000000077,0.00336,18362.042489500003,2618.113156000003,100000
0.4,1.0,0.2,5,3,1,1.0,0.05792000000000003,0.0033547264000000077,0.00331,18362.042489500003,2618.113156000003,100000
0.5,1.0,0.2,5,3,1,1.0,0.05792000000000003,0.0033547264000000077,0.00316,18362.042489500003,2618.113156000003,100000
0.6000000000000001,1.0,0.2,5,3,1,1.0,0.05792000000000003,0.0033547264000000077,0.00355,18362.042489500003,2618.113156000003,100000
0.7000000000000001,1.0,0.2,5,3,1,1.0,0.05792000000000003,0.0033547264000000077,0.00336,18362.042489500003,2618.113156000003,100000
0.8,1.0,0.2,5,3,1,1.0,0.05792000000000003,0.0033547264000000077,0.00346,18362.042489500003,2618.113156000003,100000
0.9,1.0,0.2,5,3,1,1.0,0.05792000000000003,0.0033547264000000077,0.00322,18362.042489500003,2618.113156000003,100000
1.0,1.0,0.2,5,3,1,1.0,0.05792000000000003,0.0033547264000000077,0.00317,18362.042489500003,2618.113156000003,100000
0.0,0.0,0.4,5,3,1,0.0,0.3174400000000001,1.0,1.0,15743.9293335,0.0,100000
0.1,0.0,0.4,5,3,1,0.09999999999999998,0.3174400000000001,0.9100768153600001,0.9117,16005.7406491,261.81131559999994,100000
0.2,0.0,0.4,5,3,1,0.19999999999999996,0.3174400000000001,0.82015363072,0.81784,16267.5519647,523.6226311999999,100000
0.30000000000000004,0.0,0.4,5,3,1,0.30000000000000004,0.3174400000000001,0.73023044608,0.73063,16529.3632803,785.4339467999998,100000
0.4,0.0,0.4,5,3,1,0.4,0.3174400000000001,0.64030726144,0.6409,16791.1745959,1047.2452623999998,100000
0.5,0.0,0.4,5,3,1,0.5,0.3174400000000001,0.5503840768,0.5513,17052.9859115,1309.0565779999997,100000
0.6000000000000001,0.0,0.4,5,3,1,0.6000000000000001,0.3174400000000001,0.46046089215999997,0.45998,17314.797227100004,1570.8678936000033,100000
0.7000000000000001,0.0,0.4,5,3,1,0.7000000000000001,0.3174400000000001,0.3705377075199999,0.37067,17576.608542700003,1832.6792092000032,100000
0.8,0.0,0.4,5,3,1,0.8,0.3174400000000001,0.28061452288,0.28065,17838.419858300003,2094.490524800003,100000
0.9,0.0,0.4,5,3,1,0.9,0.3174400000000001,0.19069133823999995,0.19077,18100.231173900003,2356.301840400003,100000
1.0,0.0,0.4,5,3,1,1.0,0.3174400000000001,0.10076815360000002,0.10271,18362.042489500003,2618.113156000003,100000
0.0,0.5,0.4,5,3,1,0.5,0.3174400000000001,0.5503840768,0.55011,17052.9859115,1309.0565779999997,100000
0.1,0.5,0.4,5,3,1,0.55,0.3174400000000001,0.5054224844799999,0.50545,17183.8915693,1439.9622358000015,100000
0.2,0.5,0.4,5,3,1,0.6,0.3174400000000001,0.4604608921600001,0.46168,17314.797227100004,1570.8678936000033,100000
0.30000000000000004,0.5,0.4,5,3,1,0.65,0.3174400000000001,0.41549929984,0.41651,17445.7028849,1701.7735514000015,100000
0.4,0.5,0.4,5,3,1,0.7,0.3174400000000001,0.37053770752000004,0.36844,17576.608542700003,1832.6792092000032,100000
0.5,0.5,0.4,5,3,1,0.75,0.3174400000000001,0.32557611520000007,0.3239,17707.5142005,1963.5848670000014,100000
0.6000000000000001,0.5,0.4,5,3,1,0.8,0.3174400000000001,0.28061452288,0.28108,17838.419858300003,2094.490524800003,100000
0.7000000000000001,0.5,0.4,5,3,1,0.8500000000000001,0.3174400000000001,0.23565293055999992,0.2368,17969.3255161,2225.3961826000013,100000
0.8,0.5,0.4,5,3,1,0.9,0.3174400000000001,0.19069133823999995,0.18985,18100.231173900003,2356.301840400003,100000
0.9,0.5,0.4,5,3,1,0.95,0.3174400000000001,0.1457297459200001,0.14562,18231.1368317,2487.2074982000013,100000
1.0,0.5,0.4,5,3,1,1.0,0.3174400000000001,0.10076815360000002,0.10111,18362.042489500003,2618.113156000003,100000
0.0,1.0,0.4,5,3,1,1.0,0.3174400000000001,0.10076815360000002,0.09989,18362.042489500003,2618.113156000003,100000
0.1,1.0,0.4,5,3,1,1.0,0.3174400000000001,0.10076815360000002,0.10126,18362.042489500003,2618.113156000003,100000
0.2,1.0,0.4,5,3,1,1.0,0.3174400000000001,0.10076815360000002,0.10261,18362.042489500003,2618.113156000003,100000
0.30000000000000004,1.0,0.4,5,3,1,1.0,0.3174400000000001,0.10076815360000002,0.10028,18362.042489500003,2618.113156000003,100000
0.4,1.0,0.4,5,3,1,1.0,0.3174400000000001,0.10076815360000002,0.10134,18362.042489500003,2618.113156000003,100000
0.5,1.0,0.4,5,3,1,1.0,0.3174400000000001,0.10076815360000002,0.09997,18362.042489500003,2618.113156000003,100000
0.6000000000000001,1.0,0.4,5,3,1,1.0,0.3174400000000001,0.10076815360000002,0.09984,18362.042489500003,2618.113156000003,100000
0.7000000000000001,1.0,0.4,5,3,1,1.0,0.3174400000000001,0.10076815360000002,0.10059,18362.042489500003,2618.113156000003,100000
0.8,1.0,0.4,5,3,1,1.0,0.3174400000000001,0.10076815360000002,0.09785,18362.042489500003,2618.113156000003,100000
0.9,1.0,0.4,5,3,1,1.0,0.3174400000000001,0.10076815360000002,0.09898,18362.042489500003,2618.113156000003,100000
1.0,1.0,0.4,5,3,1,1.0,0.3174400000000001,0.10076815360000002,0.10062,18362.042489500003,2618.113156000003,100000
0.0,0.0,0.6,5,3,1,0.0,0.68256,1.0,1.0,15743.9293335,0.0,100000
0.1,0.0,0.6,5,3,1,0.09999999999999998,0.68256,0.94658881536,0.94528,16005.7406491,261.81131559999994,100000
0.2,0.0,0.6,5,3,1,0.19999999999999996,0.68256,0.89317763072,0.89263,16267.5519647,523.6226311999999,100000
0.30000000000000004,0.0,0.6,5,3,1,0.30000000000000004,0.68256,0.83976644608,0.84104,16529.3632803,785.4339467999998,100000
0.4,0.0,0.6,5,3,1,0.4,0.68256,0.78635526144,0.78431,16791.1745959,1047.2452623999998,100000
0.5,0.0,0.6,5,3,1,0.5,0.68256,0.7329440768,0.73556,17052.9859115,1309.0565779999997,100000
0.6000000000000001,0.0,0.6,5,3,1,0.6000000000000001,0.68256,0.6795328921599999,0.68004,17314.797227100004,1570.8678936000033,100000
0.7000000000000001,0.0,0.6,5,3,1,0.7000000000000001,0.68256,0.6261217075199998,0.62825,17576.608542700003,1832.6792092000032,100000
0.8,0.0,0.6,5,3,1,0.8,0.68256,0.5727105228799999,0.57219,17838.419858300003,2094.490524800003,100000
0.9,0.0,0.6,5,3,1,0.9,0.68256,0.51929933824,0.51893,18100.231173900003,2356.301840400003,100000
1.0,0.0,0.6,5,3,1,1.0,0.68256,0.4658881535999999,0.46719,18362.042489500003,2618.113156000003,100000
0.0,0.5,0.6,5,3,1,0.5,0.68256,0.7329440768,0.73178,17052.9859115,1309.0565779999997,100000
0.1,0.5,0.6,5,3,1,0.55,0.68256,0.7062384844799999,0.70553,17183.8915693,1439.9622358000015,100000
0.2,0.5,0.6,5,3,1,0.6,0.68256,0.6795328921599999,0.67965,17314.797227100004,1570.8678936000033,100000
0.30000000000000004,0.5,0.6,5,3,1,0.65,0.68256,0.65282729984,0.65168,17445.7028849,1701.7735514000015,100000
0.4,0.5,0.6,5,3,1,0.7,0.68256,0.62612170752,0.62768,17576.608542700003,1832.6792092000032,100000
0.5,0.5,0.6,5,3,1,0.75,0.68256,0.5994161151999999,0.59941,17707.5142005,1963.5848670000014,100000
0.6000000000000001,0.5,0.6,5,3,1,0.8,0.68256,0.5727105228799999,0.5711,17838.419858300003,2094.490524800003,100000
0.7000000000000001,0.5,0.6,5,3,1,0.8500000000000001,0.68256,0.5460049305599999,0.54511,17969.3255161,2225.3961826000013,100000
0.8,0.5,0.6,5,3,1,0.9,0.68256,0.51929933824,0.52032,18100.231173900003,2356.301840400003,100000
0.9,0.5,0.6,5,3,1,0.95,0.68256,0.49259374591999994,0.49407,18231.1368317,2487.2074982000013,100000
1.0,0.5,0.6,5,3,1,1.0,0.68256,0.4658881535999999,0.46718,18362.042489500003,2618.113156000003,100000
0.0,1.0,0.6,5,3,1,1.0,0.68256,0.4658881535999999,0.46699,18362.042489500003,2618.113156000003,100000
0.1,1.0,0.6,5,3,1,1.0,0.68256,0.4658881535999999,0.4641,18362.042489500003,2618.113156000003,100000
0.2,1.0,0.6,5,3,1,1.0,0.68256,0.4658881535999999,0.46548,18362.042489500003,2618.113156000003,100000
0.30000000000000004,1.0,0.6,5,3,1,1.0,0.68256,0.4658881535999999,0.46592,18362.042489500003,2618.113156000003,100000
0.4,1.0,0.6,5,3,1,1.0,0.68256,0.4658881535999999,0.46518,18362.042489500003,2618.113156000003,100000
0.5,1.0,0.6,5,3,1,1.0,0.68256,0.4658881535999999,0.46775,18362.042489500003,2618.113156000003,100000
0.6000000000000001,1.0,0.6,5,3,1,1.0,0.68256,0.4658881535999999,0.47091,18362.042489500003,2618.113156000003,100000
0.7000000000000001,1.0,0.6,5,3,1,1.0,0.68256,0.4658881535999999,0.46553,18362.042489500003,2618.113156000003,100000
0.8,1.0,0.6,5,3,1,1.0,0.68256,0.4658881535999999,0.46397,18362.042489500003,2618.113156000003,100000
0.9,1.0,0.6,5,3,1,1.0,0.68256,0.4658881535999999,0.46621,18362.042489500003,2618.113156000003,100000
1.0,1.0,0.6,5,3,1,1.0,0.68256,0.4658881535999999,0.46477,18362.042489500003,2618.113156000003,100000
