protocol,n,dimension,payload_bytes,seed,audit_mode,offchain_active_ms,declared_wait_ms,offchain_final_ms,worker_ms,tp_sp_cloudA_ms,dr_cloudB_ms,rb_rc_ta_ms,auditor_ms,analytics_ms,crypto_and_protocol_ms,traffic_task_bytes,traffic_report_bytes,iterations,retained_count,valid,run,chain_active_ms,tx_count,confirm_median_ms,confirm_p95_ms,ledger_bytes_task,gas_used,e2e_active_ms,e2e_final_ms,total_traffic_task_bytes
IRPP-TD,10,9,256,2026181008,normal,12.039001,0.0,12.039001,7.615402,0.579312,3.74645,0.0,0.0,1.825387,10.213614,86220,1568.0,6,10,True,8,7045.79247,14.0,502.143401,515.130197,4046.0,363893.0,7057.831471,7557.831471,90266.0
BSIF,10,9,256,2026181008,normal,2450.951276,0.0,2450.951276,1799.41485,511.666116,139.796831,0.0,0.0,0.079297,2450.871979,132272,7324.0,1,7,True,8,11748.818849,23.0,502.663276,549.209397,78449.0,12032928.0,14199.770125,14199.770125,210721.0
RPPS-TDC,10,9,256,2026181008,normal,2761.701494,0.0,2761.701494,1798.556848,190.990593,719.426125,52.401339,0.0,472.23273,2289.468764,158184,6912.0,8,8,True,8,12611.01696,25.0,501.920434,519.810467,74739.0,11399128.0,15372.718454000002,15372.718454000002,232923.0
PRTD,10,9,256,2026181008,normal,6161.160074,0.0,6161.160074,3542.849353,1732.831152,844.311255,40.204662,0.0,379.215578,5781.944496,206540,7808.0,8,10,True,8,,,,,,,6161.160074,6161.160074,206540.0
BSIF,10,9,256,2026181009,normal,2525.131932,0.0,2525.131932,1799.003774,526.457518,199.589836,0.0,0.0,0.093282,2525.03865,155504,7324.0,1,10,True,9,11663.214012,23.0,502.515403,566.414036,78449.0,12032928.0,14188.345944,14188.345944,233953.0
RPPS-TDC,10,9,256,2026181009,normal,2775.210828,0.0,2775.210828,1804.055244,191.448166,725.900307,53.423064,0.0,477.085265,2298.125563,158184,6912.0,8,8,True,9,12639.516388,25.0,501.760272,562.465176,74739.0,11399128.0,15414.727216,15414.727216,232923.0
PRTD,10,9,256,2026181009,normal,6150.403538,0.0,6150.403538,3533.752007,1732.023798,843.107612,40.549559,0.0,379.148929,5771.254609,206540,7808.0,8,10,True,9,,,,,,,6150.403538,6150.403538,206540.0
IRPP-TD,10,9,256,2026181009,normal,11.928598,0.0,11.928598,7.54045,0.556724,3.73,0.0,0.0,1.902767,10.025830999999998,86220,1568.0,6,10,True,9,7034.117263,14.0,501.15092,514.694081,4046.0,363893.0,7046.0458610000005,7546.0458610000005,90266.0
RPPS-TDC,10,9,256,2026181010,normal,2762.42966,0.0,2762.42966,1801.465557,190.392308,717.621941,52.629461,0.0,471.222079,2291.207581,158184,6912.0,8,8,True,10,12984.126277,25.0,502.593536,602.732891,74739.0,11399128.0,15746.555937,15746.555937,232923.0
PRTD,10,9,256,2026181010,normal,6099.63145,0.0,6099.63145,3505.012322,1715.902593,837.38763,40.342586,0.0,376.586184,5723.045266,206540,7808.0,8,10,True,10,,,,,,,6099.63145,6099.63145,206540.0
IRPP-TD,10,9,256,2026181010,normal,11.482927,0.0,11.482927,7.026535,0.56797,3.78062,0.0,0.0,1.829064,9.653863,86220,1568.0,7,10,True,10,7084.339507,14.0,501.360772,539.10038,4046.0,363893.0,7095.822434,7595.822434,90266.0
BSIF,10,9,256,2026181010,normal,2535.979906,0.0,2535.979906,1805.311039,529.909689,200.674507,0.0,0.0,0.102106,2535.8778,155504,7324.0,1,10,True,10,11647.463643,23.0,501.189548,535.601886,78449.0,12032928.0,14183.443549,14183.443549,233953.0
PRTD,10,9,256,2026181011,normal,5670.347474,0.0,5670.347474,3339.162104,1538.148988,751.861048,40.256181,0.0,335.996811,5334.350663,191868,7808.0,7,10,True,11,,,,,,,5670.347474,5670.347474,191868.0
