protocol,n,run,audit_mode,phase,tx_index,latency_ms,ledger_bytes,gas_used,block_number,status,tx_hash
RPPS-TDC,27,0,normal,encrypted_upload,2,502.320376,7235,1119312,2868,0,0x3d4d10f71cf651bc464141d6b689863fadb31af957f4f9c8ac2d66775257ef2d
RPPS-TDC,27,0,normal,encrypted_upload,3,502.595620,7235,1119312,2869,0,0xba9b09c9e018dc54c97842f86f8c6fbdd4ec6eaffa495b4f7786e770115d5a3b
RPPS-TDC,27,0,normal,encrypted_upload,4,501.448303,7235,1119312,2870,0,0xbe0cc35956c2188826f46a4113732b45c59a4f123e57367c15f108e464440ff7
RPPS-TDC,27,0,normal,encrypted_upload,5,499.827436,7235,1119312,2871,0,0xb99e5102691747c74f49f6bf613b10ff090d3fdc7c3172aa829ad057c212fc5b
RPPS-TDC,27,0,normal,encrypted_upload,6,500.057548,7235,1119312,2872,0,0x78a93de4601c4aa75e5ecda18811a6e1e0691274e010b7b1c3e3b541a2f0d130
RPPS-TDC,27,0,normal,encrypted_upload,7,501.323036,7235,1119312,2873,0,0xfa828768b913c9c9156fdfcd394e088b7618541e524d78ca91666122f420e92c
RPPS-TDC,27,0,normal,encrypted_upload,8,503.103462,7235,1119312,2874,0,0xe1be3fe2b91df72c45c56a19dc586546ed3e02c22649a0d3501f617b598d45df
RPPS-TDC,27,0,normal,encrypted_upload,9,499.059421,7235,1119312,2875,0,0x9e0336aba85f707cdd993681fb125ce80bd8681c23c0f6acffe5bb954d61191a
RPPS-TDC,27,0,normal,encrypted_upload,10,536.298506,7235,1119312,2876,0,0x026406cfc30f38a796886b9526e838a77f7967bf1b42e4c78cfd0d8282e4f2d4
RPPS-TDC,27,0,normal,encrypted_upload,11,466.589830,7235,1119312,2877,0,0xabf30639bbbd516cc107bc755c1b9c96b1eac9f90bb4c5ec1813c7359c20f39a
RPPS-TDC,27,0,normal,encrypted_upload,12,502.891056,7235,1119312,2878,0,0xe82ef3bf815d897dc6f5549d0b7bea2c21e279caae573463f431b1a7b0ce08e2
